TestID,Timestamp,ElapsedTime,InitiatedAction,TargetType,Gun,AimStyle,Position
0,34:32.5,0.0,Destroyed,STATIC_MOTION,PISTOL,SPHERE,0.0009096453 3.04766 10.25642
0,34:32.5,0.0,Hit,NO_TARGET,PISTOL,SPHERE,0.05205907 2.942348 10.25038
0,34:34.7,2.2,Destroyed,STATIC_MOTION,PISTOL,SPHERE,-8.149867 3.035137 10.18905
0,34:34.7,2.2,Hit,NO_TARGET,PISTOL,SPHERE,-8.155475 3.040459 10.15138
0,34:36.9,4.4,Destroyed,STATIC_MOTION,PISTOL,SPHERE,8.121942 3.028297 10.15226
0,34:36.9,4.4,Hit,NO_TARGET,PISTOL,SPHERE,8.207218 2.800768 10.09388
0,34:39.4,6.9,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,-0.1371944 4.090774 20.17756
0,34:39.4,6.9,Hit,NO_TARGET,PISTOL,SPHERE,0.2986128 4.019199 20.16475
0,34:41.9,9.4,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,-0.7900728 1.261182 10.73759
0,34:41.9,9.4,Hit,NO_TARGET,PISTOL,SPHERE,-1.074063 1.087856 10.69472
0,34:44.2,11.7,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:44.6,12.1,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-3.037096 4.332898 9.977859
0,34:44.6,12.1,Hit,NO_TARGET,PISTOL,SPHERE,-2.955053 4.308434 9.982891
0,34:46.8,14.3,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:47.2,14.7,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,0.0007630588 3.37589 20.4865
0,34:47.2,14.7,Hit,NO_TARGET,PISTOL,SPHERE,-0.3928807 3.200444 20.48109
0,34:49.3,16.8,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:49.9,17.4,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,0.001615525 6.865357 10.45478
0,34:49.9,17.4,Hit,NO_TARGET,PISTOL,SPHERE,0.2688024 7.103622 10.29525
0,34:52.0,19.5,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:52.3,19.8,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-0.8047113 4.335264 29.9558
0,34:52.3,19.8,Hit,NO_TARGET,PISTOL,SPHERE,-1.188613 4.776478 29.87391
0,34:54.3,21.8,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:54.7,22.2,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,3.809406 4.313986 19.83722
0,34:54.7,22.2,Hit,NO_TARGET,PISTOL,SPHERE,3.874054 4.675519 19.74124
0,34:56.7,24.2,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:57.0,24.5,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:57.3,24.8,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:57.7,25.2,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,34:58.1,25.6,Hit,NO_TARGET,PISTOL,SPHERE,0.04131337 10.35512 29.61267
