TestID,Timestamp,ElapsedTime,InitiatedAction,TargetType,Gun,AimStyle,Position
0,03:31.8,0.0,Destroyed,STATIC_MOTION,PISTOL,SPHERE,-0.0004224262 3.046666 10.26687
0,03:31.8,0.0,Hit,NO_TARGET,PISTOL,SPHERE,-0.0436233 3.008985 10.24801
0,03:37.4,5.6,Destroyed,STATIC_MOTION,PISTOL,SPHERE,-8.159047 3.035364 10.19963
0,03:37.4,5.6,Hit,NO_TARGET,PISTOL,SPHERE,-8.14762 2.987025 10.18503
0,03:41.5,9.7,Destroyed,STATIC_MOTION,PISTOL,SPHERE,8.139663 3.030969 10.17641
0,03:41.5,9.7,Hit,NO_TARGET,PISTOL,SPHERE,8.108719 3.039441 10.16723
0,03:45.9,14.1,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-0.0001075268 5.82818 30.36943
0,03:45.9,14.1,Hit,NO_TARGET,PISTOL,SPHERE,0.05755941 5.390968 30.41023
0,03:49.8,18.0,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,-1.514989 2.825104 20.26936
0,03:49.8,18.0,Hit,NO_TARGET,PISTOL,SPHERE,-1.251227 3.010459 20.24921
0,03:54.2,22.4,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,03:55.6,23.8,Hit,NO_TARGET,PISTOL,SPHERE,-0.0458699 3.452623 20.17476
0,03:55.6,23.8,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-0.0001040101 3.066759 20.23474
0,03:59.3,27.5,Hit,NO_TARGET,PISTOL,SPHERE,-3.794906 4.310393 29.71137
0,03:59.3,27.5,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-3.615049 4.314937 29.7581
0,04:03.9,32.1,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,0.8199373 1.327654 10.72673
0,04:03.9,32.1,Hit,NO_TARGET,PISTOL,SPHERE,0.6066039 1.199562 10.71851
0,04:10.7,38.9,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-0.001518488 5.303161 11.19561
0,04:10.7,38.9,Hit,NO_TARGET,PISTOL,SPHERE,0.001641241 5.310924 11.16624
0,04:18.0,46.2,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-1.247701 4.368325 20.18293
0,04:18.0,46.2,Hit,NO_TARGET,PISTOL,SPHERE,-1.149089 4.522463 20.13976
0,04:21.2,49.4,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,-1.143182 3.604807 30.13977
0,04:21.2,49.4,Hit,NO_TARGET,PISTOL,SPHERE,-1.110967 3.670591 30.11075
0,04:24.1,52.3,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,1.347071 4.29974 9.869398
0,04:24.1,52.3,Hit,NO_TARGET,PISTOL,SPHERE,1.312222 4.128045 9.900526
0,04:37.9,66.1,Hit,NO_TARGET,RIFLE,SPHERE,0.02371574 2.99618 10.24891
0,04:37.9,66.1,Destroyed,STATIC_MOTION,RIFLE,SPHERE,-0.001241746 3.046547 10.26534
0,04:43.7,71.9,Destroyed,STATIC_MOTION,RIFLE,SPHERE,-8.134784 3.029666 10.16759
0,04:43.7,71.9,Hit,NO_TARGET,RIFLE,SPHERE,-8.120065 3.042756 10.14473
0,04:47.6,75.8,Destroyed,STATIC_MOTION,RIFLE,SPHERE,8.140366 3.031066 10.17851
0,04:47.6,75.8,Hit,NO_TARGET,RIFLE,SPHERE,8.138634 3.01265 10.15097
0,04:56.8,85.0,Destroyed,CIRCULAR_MOTION,RIFLE,SPHERE,1.250975 1.745736 30.05899
0,04:56.8,85.0,Hit,NO_TARGET,RIFLE,SPHERE,1.336457 2.014829 30.02602
0,05:02.1,90.3,Destroyed,CIRCULAR_MOTION,RIFLE,SPHERE,-0.3827248 1.169458 10.32104
0,05:02.1,90.3,Hit,NO_TARGET,RIFLE,SPHERE,-0.3790356 1.005092 10.29506
0,05:07.4,95.6,Destroyed,CIRCULAR_MOTION,RIFLE,SPHERE,-0.1852755 1.13311 20.15967
