TestID,Timestamp,ElapsedTime,InitiatedAction,TargetType,Gun,AimStyle,Position
0,11:32.5,0.0,Destroyed,STATIC_MOTION,PISTOL,SPHERE,0.002073372 3.056228 10.31823
0,11:32.5,0.0,Hit,NO_TARGET,PISTOL,SPHERE,-0.02047722 3.135072 10.27906
0,11:37.4,4.9,Destroyed,STATIC_MOTION,PISTOL,SPHERE,-8.19708 3.044121 10.24831
0,11:37.4,4.9,Hit,NO_TARGET,PISTOL,SPHERE,-8.164581 3.027826 10.24478
0,11:42.2,9.7,Hit,NO_TARGET,PISTOL,SPHERE,8.106063 3.034513 10.18457
0,11:42.2,9.7,Destroyed,STATIC_MOTION,PISTOL,SPHERE,8.147695 3.032513 10.18385
0,11:48.9,16.4,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,0.007931293 4.697465 11.4428
0,11:48.9,16.4,Hit,NO_TARGET,PISTOL,SPHERE,-0.0267381 5.006772 11.32359
0,11:51.8,19.3,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,11:52.7,20.2,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,5.642283 4.007477 8.9262
0,11:52.7,20.2,Hit,NO_TARGET,PISTOL,SPHERE,5.477539 4.278303 8.916504
0,11:56.2,23.7,Missed target,CIRCULAR_MOTION,PISTOL,SPHERE,
0,11:58.1,25.6,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,0.8255984 1.390952 30.26044
0,11:58.1,25.6,Hit,NO_TARGET,PISTOL,SPHERE,0.5874828 1.622033 30.24137
0,12:01.1,28.6,Hit,NO_TARGET,PISTOL,SPHERE,4.529756 3.840283 19.74638
0,12:01.1,28.6,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,4.158586 4.305839 19.77911
0,12:04.3,31.8,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,-0.5444521 4.027219 19.95832
0,12:04.3,31.8,Hit,NO_TARGET,PISTOL,SPHERE,-0.9272285 3.960244 19.93311
0,12:06.9,34.4,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,0.001426801 5.700779 30.71193
0,12:06.9,34.4,Hit,NO_TARGET,PISTOL,SPHERE,-0.09308767 5.234226 30.75454
0,12:09.3,36.8,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,0.001189232 4.17538 20.3924
0,12:09.3,36.8,Hit,NO_TARGET,PISTOL,SPHERE,-0.0234325 4.069819 20.38238
0,12:12.2,39.7,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,1.371202 1.941262 10.63891
0,12:12.2,39.7,Hit,NO_TARGET,PISTOL,SPHERE,1.262731 2.023519 10.62282
0,12:14.9,42.4,Hit,NO_TARGET,PISTOL,SPHERE,2.11181 4.426186 30.03063
0,12:14.9,42.4,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,2.605267 4.342095 30.02067
0,12:29.7,57.2,Destroyed,STATIC_MOTION,RIFLE,SPHERE,-5.729834E-05 3.02226 10.12886
0,12:29.7,57.2,Hit,NO_TARGET,RIFLE,SPHERE,-0.0003913426 2.994471 10.10829
0,12:34.7,62.2,Hit,NO_TARGET,RIFLE,SPHERE,-8.064123 2.934343 10.12017
0,12:34.7,62.2,Destroyed,STATIC_MOTION,RIFLE,SPHERE,-8.091653 3.020298 10.11541
0,12:40.2,67.7,Destroyed,STATIC_MOTION,RIFLE,SPHERE,8.055737 3.012229 10.07019
0,12:40.2,67.7,Hit,NO_TARGET,RIFLE,SPHERE,8.08177 2.955727 10.02714
0,12:43.6,71.1,Missed target,CIRCULAR_MOTION,RIFLE,SPHERE,
0,12:44.3,71.8,Destroyed,CIRCULAR_MOTION,RIFLE,SPHERE,0.3904812 4.078498 20.02513
0,12:44.3,71.8,Hit,NO_TARGET,RIFLE,SPHERE,0.5197309 3.645261 20.05853
0,12:46.7,74.2,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,5.364418E-06 4.25515 20.22641
0,12:46.7,74.2,Hit,NO_TARGET,RIFLE,SPHERE,0.1529452 4.638319 20.14423
0,12:49.8,77.3,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,-1.315325 4.260152 9.739158
0,12:49.8,77.3,Hit,NO_TARGET,RIFLE,SPHERE,-1.265457 4.401613 9.676136
0,12:52.8,80.3,Missed target,CIRCULAR_MOTION,RIFLE,SPHERE,
0,12:53.5,81.0,Destroyed,CIRCULAR_MOTION,RIFLE,SPHERE,0.1059063 4.07734 9.796934
0,12:53.5,81.0,Hit,NO_TARGET,RIFLE,SPHERE,-0.1501822 4.171859 9.74725
0,12:56.3,83.8,Destroyed,CIRCULAR_MOTION,RIFLE,SPHERE,1.320336 1.911677 30.09435
0,12:56.3,83.8,Hit,NO_TARGET,RIFLE,SPHERE,1.390082 1.965065 30.06502
0,13:00.4,87.9,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,0.001458079 4.39672 10.64552
0,13:00.4,87.9,Hit,NO_TARGET,RIFLE,SPHERE,-0.01142759 4.059569 10.71817
0,13:02.7,90.2,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,13:03.4,90.9,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,13:04.5,92.0,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,13:05.5,93.0,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,13:06.5,94.0,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,0.0002604723 6.931358 30.37538
0,13:06.5,94.0,Hit,NO_TARGET,RIFLE,SPHERE,-0.4157284 6.88943 30.35806
0,13:09.5,97.0,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,13:10.3,97.8,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,13:11.9,99.4,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,13:12.7,100.2,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,0.2577748 4.354296 20.09233
0,13:12.7,100.2,Hit,NO_TARGET,RIFLE,SPHERE,0.4003898 4.192499 20.09034
0,13:15.6,103.1,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,-6.653168 4.251024 29.14425
0,13:15.6,103.1,Hit,NO_TARGET,RIFLE,SPHERE,-6.377048 4.052155 29.20158
1,19:57.1,0.0,Destroyed,STATIC_MOTION,RIFLE,NO_AIM,-0.001143069 3.030752 10.17472
1,19:57.1,0.0,Hit,NO_TARGET,RIFLE,NO_AIM,0.1033567 2.961509 10.16221
1,20:01.8,4.7,Destroyed,STATIC_MOTION,RIFLE,NO_AIM,-8.089005 3.019765 10.11118
1,20:01.8,4.7,Hit,NO_TARGET,RIFLE,NO_AIM,-7.959772 2.891286 10.20514
1,20:05.7,8.6,Destroyed,STATIC_MOTION,RIFLE,NO_AIM,8.083402 3.018516 10.10508
1,20:05.7,8.6,Hit,NO_TARGET,RIFLE,NO_AIM,7.864118 3.350915 10.18834
1,20:08.1,11.0,Missed target,CIRCULAR_MOTION,RIFLE,NO_AIM,
1,20:08.8,11.7,Destroyed,CIRCULAR_MOTION,RIFLE,NO_AIM,1.300869 1.79487 10.15566
1,20:08.8,11.7,Hit,NO_TARGET,RIFLE,NO_AIM,1.295198 1.770815 10.13248
1,20:11.3,14.2,Missed target,CIRCULAR_MOTION,RIFLE,NO_AIM,
1,20:11.9,14.8,Missed target,CIRCULAR_MOTION,RIFLE,NO_AIM,
1,20:12.7,15.6,Missed target,CIRCULAR_MOTION,RIFLE,NO_AIM,
1,20:13.9,16.8,Missed target,CIRCULAR_MOTION,RIFLE,NO_AIM,
1,20:14.4,17.3,Destroyed,CIRCULAR_MOTION,RIFLE,NO_AIM,0.2428799 4.10001 30.03319
1,20:14.4,17.3,Hit,NO_TARGET,RIFLE,NO_AIM,0.7384456 3.652283 30.04766
1,20:17.2,20.1,Destroyed,LINEAR_MOTION,RIFLE,NO_AIM,-1.006212 4.316702 19.85005
1,20:17.2,20.1,Hit,NO_TARGET,RIFLE,NO_AIM,-1.015439 3.969424 19.87812
1,20:20.0,22.9,Missed target,LINEAR_MOTION,RIFLE,NO_AIM,
1,20:21.1,24.0,Destroyed,LINEAR_MOTION,RIFLE,NO_AIM,-0.0003211499 3.339513 20.39383
1,20:21.1,24.0,Hit,NO_TARGET,RIFLE,NO_AIM,-0.01763635 3.462608 20.35597
1,20:23.3,26.2,Destroyed,CIRCULAR_MOTION,RIFLE,NO_AIM,-0.3430635 4.055081 19.86069
1,20:23.3,26.2,Hit,NO_TARGET,RIFLE,NO_AIM,-0.1748897 3.923505 19.85716
1,20:26.8,29.7,Missed target,LINEAR_MOTION,RIFLE,NO_AIM,
1,20:27.4,30.3,Destroyed,LINEAR_MOTION,RIFLE,NO_AIM,-0.0003885329 5.647136 30.62685
1,20:27.4,30.3,Hit,NO_TARGET,RIFLE,NO_AIM,-0.0471932 5.536548 30.61752
1,20:29.4,32.3,Hit,NO_TARGET,RIFLE,NO_AIM,-0.06842926 4.336583 30.02818
1,20:29.4,32.3,Destroyed,LINEAR_MOTION,RIFLE,NO_AIM,-0.06301498 4.345408 30.05242
1,20:32.6,35.5,Missed target,LINEAR_MOTION,RIFLE,NO_AIM,
1,20:34.6,37.5,Destroyed,LINEAR_MOTION,RIFLE,NO_AIM,-0.00114727 5.828299 10.85654
1,20:34.6,37.5,Hit,NO_TARGET,RIFLE,NO_AIM,-0.1305944 5.857907 10.81689
1,20:37.4,40.3,Destroyed,LINEAR_MOTION,RIFLE,NO_AIM,6.351919 3.826809 8.340929
1,20:37.4,40.3,Hit,NO_TARGET,RIFLE,NO_AIM,5.961259 3.984396 8.554545
1,20:48.0,50.9,Destroyed,STATIC_MOTION,PISTOL,NO_AIM,-0.0005644233 3.035241 10.20086
1,20:48.0,50.9,Hit,NO_TARGET,PISTOL,NO_AIM,-0.2792236 3.193863 10.14687
1,20:51.6,54.5,Destroyed,STATIC_MOTION,PISTOL,NO_AIM,-8.087717 3.019441 10.11034
1,20:51.6,54.5,Hit,NO_TARGET,PISTOL,NO_AIM,-7.784383 3.038178 10.31594
1,20:57.8,60.7,Destroyed,STATIC_MOTION,PISTOL,NO_AIM,8.104477 3.023371 10.13249
1,20:57.8,60.7,Hit,NO_TARGET,PISTOL,NO_AIM,8.019902 3.107808 10.15214
1,21:01.0,63.9,Missed target,CIRCULAR_MOTION,PISTOL,NO_AIM,
1,21:01.5,64.4,Missed target,CIRCULAR_MOTION,PISTOL,NO_AIM,
1,21:02.0,64.9,Destroyed,CIRCULAR_MOTION,PISTOL,NO_AIM,1.525145 2.690326 19.96169
1,21:02.0,64.9,Hit,NO_TARGET,PISTOL,NO_AIM,1.42408 2.864998 19.93125
1,21:04.9,67.8,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:06.9,69.8,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:07.4,70.3,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:08.1,71.0,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:09.5,72.4,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:10.0,72.9,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:10.4,73.3,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:12.2,75.1,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:13.0,75.9,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:13.6,76.5,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:14.6,77.5,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:15.0,77.9,Hit,NO_TARGET,PISTOL,NO_AIM,-0.2453547 5.272104 11.0874
1,21:15.0,77.9,Destroyed,LINEAR_MOTION,PISTOL,NO_AIM,-0.004180193 5.639148 10.96969
1,21:17.9,80.8,Hit,NO_TARGET,PISTOL,NO_AIM,-0.4693092 4.347227 9.741058
1,21:17.9,80.8,Destroyed,CIRCULAR_MOTION,PISTOL,NO_AIM,-0.0251619 4.079495 9.846881
1,21:20.3,83.2,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:20.9,83.8,Hit,NO_TARGET,PISTOL,NO_AIM,-2.222119 3.744489 9.76748
1,21:20.9,83.8,Destroyed,LINEAR_MOTION,PISTOL,NO_AIM,-2.396793 4.217609 9.604266
1,21:23.2,86.1,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:24.0,86.9,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:24.6,87.5,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:24.9,87.8,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:25.6,88.5,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:26.5,89.4,Destroyed,LINEAR_MOTION,PISTOL,NO_AIM,0.000133276 9.306297 29.8775
1,21:26.5,89.4,Hit,NO_TARGET,PISTOL,NO_AIM,-0.4791836 9.180218 29.88512
1,21:29.1,92.0,Destroyed,CIRCULAR_MOTION,PISTOL,NO_AIM,-1.486302 2.538355 29.95198
1,21:29.1,92.0,Hit,NO_TARGET,PISTOL,NO_AIM,-1.795932 2.083859 29.93129
1,21:29.6,92.5,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:31.5,94.4,Destroyed,LINEAR_MOTION,PISTOL,NO_AIM,-5.198421 4.281616 29.43716
1,21:31.5,94.4,Hit,NO_TARGET,PISTOL,NO_AIM,-5.196073 3.959501 29.44545
1,21:33.9,96.8,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:34.4,97.3,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:34.8,97.7,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:35.5,98.4,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:36.8,99.7,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:37.5,100.4,Hit,NO_TARGET,PISTOL,NO_AIM,-0.1196963 3.863582 20.03868
1,21:37.5,100.4,Destroyed,LINEAR_MOTION,PISTOL,NO_AIM,-0.0002213717 3.408746 20.11348
1,21:40.7,103.6,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:41.2,104.1,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:41.7,104.6,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:42.5,105.4,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:43.2,106.1,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:43.6,106.5,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:45.1,108.0,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:45.6,108.5,Missed target,LINEAR_MOTION,PISTOL,NO_AIM,
1,21:46.2,109.1,Destroyed,LINEAR_MOTION,PISTOL,NO_AIM,-3.385012 4.314943 19.83962
1,21:46.2,109.1,Hit,NO_TARGET,PISTOL,NO_AIM,-3.740692 4.247156 19.76332
2,24:16.1,0.0,Hit,NO_TARGET,PISTOL,LINE,-0.09050054 2.990122 10.26466
2,24:16.1,0.0,Destroyed,STATIC_MOTION,PISTOL,LINE,-0.0007548265 3.049553 10.27977
2,24:20.4,4.3,Destroyed,STATIC_MOTION,PISTOL,LINE,-8.133715 3.029686 10.16791
2,24:20.4,4.3,Hit,NO_TARGET,PISTOL,LINE,-8.138827 3.017338 10.13376
2,24:23.4,7.3,Destroyed,STATIC_MOTION,PISTOL,LINE,8.131276 3.029188 10.16575
2,24:23.4,7.3,Hit,NO_TARGET,PISTOL,LINE,8.141356 2.893644 10.14944
2,24:25.7,9.6,Missed target,CIRCULAR_MOTION,PISTOL,LINE,
2,24:26.2,10.1,Hit,NO_TARGET,PISTOL,LINE,1.3875 3.06623 10.02809
2,24:26.2,10.1,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,1.415909 3.188983 10.02598
2,24:28.4,12.3,Destroyed,LINEAR_MOTION,PISTOL,LINE,-0.000259161 5.920753 30.3304
2,24:28.4,12.3,Hit,NO_TARGET,PISTOL,LINE,0.09185681 5.539426 30.36405
2,24:30.8,14.7,Missed target,LINEAR_MOTION,PISTOL,LINE,
2,24:31.5,15.4,Destroyed,LINEAR_MOTION,PISTOL,LINE,6.820621 4.272571 29.34774
2,24:31.5,15.4,Hit,NO_TARGET,PISTOL,LINE,6.424075 4.470453 29.39299
2,24:34.1,18.0,Hit,NO_TARGET,PISTOL,LINE,0.8445281 4.59921 9.783118
2,24:34.1,18.0,Destroyed,LINEAR_MOTION,PISTOL,LINE,0.8270187 4.309175 9.900495
2,24:36.7,20.6,Missed target,CIRCULAR_MOTION,PISTOL,LINE,
2,24:37.3,21.2,Missed target,CIRCULAR_MOTION,PISTOL,LINE,
2,24:37.8,21.7,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,-1.317496 1.914355 30.1903
2,24:37.8,21.7,Hit,NO_TARGET,PISTOL,LINE,-1.15193 2.253022 30.16502
2,24:40.1,24.0,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,1.145568 3.602587 19.95913
2,24:40.1,24.0,Hit,NO_TARGET,PISTOL,LINE,0.8613248 3.364821 19.97784
2,24:42.8,26.7,Hit,NO_TARGET,PISTOL,LINE,0.08696488 4.736351 19.9589
2,24:42.8,26.7,Destroyed,LINEAR_MOTION,PISTOL,LINE,-2.217293E-05 4.547729 20.01527
