TestID,Timestamp,ElapsedTime,InitiatedAction,TargetType,Gun,AimStyle,Position
0,00:02.3,0.0,Hit,NO_TARGET,RIFLE,SPHERE,-1.60695 2.47012 19.97262
0,00:02.3,0.0,Destroyed,CIRCULAR_MOTION,RIFLE,SPHERE,-1.480417 2.328082 20.01562
0,00:04.6,2.3,Hit,NO_TARGET,RIFLE,SPHERE,0.656272 4.160046 9.864649
0,00:04.6,2.3,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,0.7056265 4.290884 9.845879
0,00:07.3,5.0,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,00:07.8,5.5,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,00:08.3,6.0,Hit,NO_TARGET,RIFLE,SPHERE,-2.937935 4.1464 29.92817
0,00:08.3,6.0,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,-2.613132 4.335858 29.96159
1,02:45.5,0.0,Hit,NO_TARGET,PISTOL,LINE,0.003483664 3.025317 10.16202
1,02:45.5,0.0,Destroyed,STATIC_MOTION,PISTOL,LINE,7.292303E-06 3.034116 10.18582
1,02:48.7,3.2,Destroyed,STATIC_MOTION,PISTOL,LINE,-8.1061 3.024671 10.13432
1,02:48.7,3.2,Hit,NO_TARGET,PISTOL,LINE,-8.043553 2.962853 10.16289
1,02:51.8,6.3,Destroyed,STATIC_MOTION,,,8.099153 3.023056 10.12547
1,02:54.4,8.9,Missed target,CIRCULAR_MOTION,PISTOL,LINE,
1,02:55.3,9.8,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,1.482694 2.335592 30.12687
1,02:55.3,9.8,Hit,NO_TARGET,PISTOL,LINE,1.368615 2.204057 30.11267
1,02:57.7,12.2,Destroyed,LINEAR_MOTION,PISTOL,LINE,-3.71933E-05 10.01081 29.66518
1,02:57.7,12.2,Hit,NO_TARGET,PISTOL,LINE,0.01959629 10.34336 29.54013
1,03:00.0,14.5,Destroyed,LINEAR_MOTION,PISTOL,LINE,5.592558 4.273136 29.36959
1,03:00.0,14.5,Hit,NO_TARGET,PISTOL,LINE,5.375611 4.368493 29.37511
1,03:02.3,16.8,Destroyed,LINEAR_MOTION,PISTOL,LINE,4.246925 4.023666 8.996596
1,03:02.3,16.8,Hit,NO_TARGET,PISTOL,LINE,4.007597 4.184056 9.028746
1,03:05.0,19.5,Missed target,LINEAR_MOTION,PISTOL,LINE,
1,03:05.5,20.0,Missed target,LINEAR_MOTION,PISTOL,LINE,
1,03:06.2,20.7,Hit,NO_TARGET,PISTOL,LINE,-0.02829803 5.78469 10.86646
1,03:06.2,20.7,Destroyed,LINEAR_MOTION,PISTOL,LINE,0.0002250672 5.653616 10.94675
1,03:08.3,22.8,Hit,NO_TARGET,PISTOL,LINE,0.1571041 4.615593 19.90817
1,03:08.3,22.8,Destroyed,LINEAR_MOTION,PISTOL,LINE,-5.88894E-05 4.748498 19.90982
1,03:10.5,25.0,Missed target,CIRCULAR_MOTION,PISTOL,LINE,
1,03:11.0,25.5,Hit,NO_TARGET,PISTOL,LINE,0.5075052 1.313665 20.0477
1,03:11.0,25.5,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,0.3323416 1.115258 20.07527
1,03:13.2,27.7,Destroyed,LINEAR_MOTION,PISTOL,LINE,0.3740025 4.319022 19.86763
1,03:13.2,27.7,Hit,NO_TARGET,PISTOL,LINE,0.3003525 4.469112 19.81996
1,03:15.3,29.8,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,-1.249037 3.568601 10.32461
1,03:15.3,29.8,Hit,NO_TARGET,PISTOL,LINE,-1.365247 3.588477 10.28041
1,03:31.5,46.0,Destroyed,STATIC_MOTION,RIFLE,LINE,-0.0008772594 3.030748 10.1667
1,03:31.5,46.0,Hit,NO_TARGET,RIFLE,LINE,-0.02198954 3.109708 10.12661
1,03:35.1,49.6,Destroyed,STATIC_MOTION,RIFLE,LINE,-8.09341 3.021695 10.11785
1,03:35.1,49.6,Hit,NO_TARGET,RIFLE,LINE,-8.048853 3.114534 10.10384
1,03:37.9,52.4,Destroyed,STATIC_MOTION,RIFLE,LINE,8.095323 3.02222 10.12126
1,03:37.9,52.4,Hit,NO_TARGET,RIFLE,LINE,8.163301 3.014449 10.03712
1,03:41.1,55.6,Missed target,LINEAR_MOTION,RIFLE,LINE,
1,03:41.6,56.1,Destroyed,LINEAR_MOTION,RIFLE,LINE,-2.41409 4.317745 29.79141
1,03:41.6,56.1,Hit,NO_TARGET,RIFLE,LINE,-2.176132 4.477293 29.76855
1,03:44.2,58.7,Missed target,LINEAR_MOTION,RIFLE,LINE,
1,03:44.5,59.0,Destroyed,LINEAR_MOTION,RIFLE,LINE,-0.0001995564 7.81548 30.22388
1,03:44.5,59.0,Hit,NO_TARGET,RIFLE,LINE,-0.277498 7.803525 30.20067
1,03:46.7,61.2,Destroyed,CIRCULAR_MOTION,RIFLE,LINE,0.4366845 1.128866 10.23629
1,03:46.7,61.2,Hit,NO_TARGET,RIFLE,LINE,0.5269311 0.8198559 10.20726
1,03:49.2,63.7,Destroyed,LINEAR_MOTION,RIFLE,LINE,-0.0003551245 5.772994 10.13738
1,03:49.2,63.7,Hit,NO_TARGET,RIFLE,LINE,0.05122833 5.974164 10.01937
1,03:51.8,66.3,Destroyed,LINEAR_MOTION,RIFLE,LINE,-4.148811 4.250392 19.43618
1,03:51.8,66.3,Hit,NO_TARGET,RIFLE,LINE,-4.327323 4.448771 19.34073
