TestID,Timestamp,ElapsedTime,InitiatedAction,TargetType,Gun,AimStyle,Position
0,29:15.8,0.0,Destroyed,STATIC_MOTION,PISTOL,SPHERE,0.0002861077 3.041614 10.24119
0,29:15.8,0.0,Hit,NO_TARGET,PISTOL,SPHERE,0.3370056 3.057616 10.21266
0,29:18.0,2.2,Missed target,STATIC_MOTION,PISTOL,SPHERE,
0,29:18.6,2.8,Hit,NO_TARGET,PISTOL,SPHERE,-8.093277 2.95977 10.16255
0,29:18.6,2.8,Destroyed,STATIC_MOTION,PISTOL,SPHERE,-8.124869 3.027208 10.15814
0,29:20.8,5.0,Destroyed,STATIC_MOTION,PISTOL,SPHERE,8.124353 3.027143 10.15692
0,29:20.8,5.0,Hit,NO_TARGET,PISTOL,SPHERE,7.996715 3.103986 10.21259
0,29:23.0,7.2,Missed target,CIRCULAR_MOTION,PISTOL,SPHERE,
0,29:23.4,7.6,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,-0.9858167 1.481197 20.33158
0,29:23.4,7.6,Hit,NO_TARGET,PISTOL,SPHERE,-0.9389886 1.71638 20.30617
0,29:25.4,9.6,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:25.9,10.1,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-3.847281 4.103863 9.228926
0,29:25.9,10.1,Hit,NO_TARGET,PISTOL,SPHERE,-3.461069 4.000817 9.39158
0,29:28.0,12.2,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,2.384186E-06 7.678511 10.00583
0,29:28.0,12.2,Hit,NO_TARGET,PISTOL,SPHERE,-0.2755691 7.342795 10.19027
0,29:29.9,14.1,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:30.2,14.4,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-4.061577 4.322299 29.8279
0,29:30.2,14.4,Hit,NO_TARGET,PISTOL,SPHERE,-3.720369 4.723994 29.80762
0,29:32.3,16.5,Missed target,CIRCULAR_MOTION,PISTOL,SPHERE,
0,29:32.7,16.9,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,1.116308 3.626876 9.949728
0,29:32.7,16.9,Hit,NO_TARGET,PISTOL,SPHERE,1.118027 3.298107 10.00169
0,29:34.7,18.9,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:35.3,19.5,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:35.8,20.0,Hit,NO_TARGET,PISTOL,SPHERE,-0.1605579 4.566524 19.97947
0,29:35.8,20.0,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,4.291535E-06 4.686028 19.98438
0,29:38.0,22.2,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:38.4,22.6,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:39.6,23.8,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:40.2,24.4,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:40.6,24.8,Missed target,LINEAR_MOTION,PISTOL,SPHERE,
0,29:41.0,25.2,Hit,NO_TARGET,PISTOL,SPHERE,-0.3698393 7.091404 30.09198
0,29:41.0,25.2,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-2.658368E-05 7.287801 30.07822
0,29:43.1,27.3,Missed target,CIRCULAR_MOTION,PISTOL,SPHERE,
0,29:44.2,28.4,Hit,NO_TARGET,PISTOL,SPHERE,0.6701291 4.16118 30.04432
0,29:44.2,28.4,Destroyed,CIRCULAR_MOTION,PISTOL,SPHERE,0.7273408 3.949573 30.08704
0,29:47.3,31.5,Destroyed,LINEAR_MOTION,PISTOL,SPHERE,-1.533443 4.320157 19.87152
0,29:47.3,31.5,Hit,NO_TARGET,PISTOL,SPHERE,-1.652827 4.452449 19.81656
0,29:52.0,36.2,Destroyed,STATIC_MOTION,RIFLE,SPHERE,-0.0001367022 3.040774 10.23416
0,29:52.0,36.2,Hit,NO_TARGET,RIFLE,SPHERE,0.2683663 3.045404 10.20814
0,29:54.2,38.4,Missed target,STATIC_MOTION,RIFLE,SPHERE,
0,29:54.5,38.7,Hit,NO_TARGET,RIFLE,SPHERE,-8.030313 3.049607 10.20316
0,29:54.5,38.7,Destroyed,STATIC_MOTION,RIFLE,SPHERE,-8.128117 3.028189 10.16154
0,29:56.8,41.0,Missed target,STATIC_MOTION,RIFLE,SPHERE,
0,29:57.2,41.4,Hit,NO_TARGET,RIFLE,SPHERE,8.061089 2.829481 10.20918
0,29:57.2,41.4,Destroyed,STATIC_MOTION,RIFLE,SPHERE,8.124323 3.027309 10.15679
0,29:59.9,44.1,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,30:03.1,47.3,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,2.365447 4.339487 29.99535
0,30:03.1,47.3,Hit,NO_TARGET,RIFLE,SPHERE,2.79437 4.187371 29.95179
0,30:06.3,50.5,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,0.0001753867 5.708553 30.35123
0,30:06.3,50.5,Hit,NO_TARGET,RIFLE,SPHERE,-0.1382859 5.527005 30.35268
0,30:09.1,53.3,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,30:09.9,54.1,Missed target,LINEAR_MOTION,RIFLE,SPHERE,
0,30:10.4,54.6,Destroyed,LINEAR_MOTION,RIFLE,SPHERE,-2.956391E-05 6.289122 19.92434
0,30:10.4,54.6,Hit,NO_TARGET,RIFLE,SPHERE,0.2900653 6.736285 19.78564
