TestID,Timestamp,ElapsedTime,InitiatedAction,TargetType,Gun,AimStyle,Position
0,27:12.5,0.0,Destroyed,STATIC_MOTION,PISTOL,LINE,0.001503551 3.042091 10.20793
0,27:12.5,0.0,Hit,NO_TARGET,PISTOL,LINE,0.1387901 2.978915 10.19422
0,27:16.1,3.6,Destroyed,STATIC_MOTION,PISTOL,LINE,-8.140751 3.036212 10.17916
0,27:16.1,3.6,Hit,NO_TARGET,PISTOL,LINE,-8.104371 2.954062 10.19216
0,27:19.5,7.0,Destroyed,STATIC_MOTION,PISTOL,LINE,8.079871 3.020192 10.09969
0,27:19.5,7.0,Hit,NO_TARGET,PISTOL,LINE,8.027243 2.922629 10.12919
0,27:23.2,10.7,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,-0.3344207 3.946638 29.94593
0,27:23.2,10.7,Hit,NO_TARGET,PISTOL,LINE,-0.2170935 3.619423 29.9544
0,27:25.6,13.1,Missed target,LINEAR_MOTION,PISTOL,LINE,
0,27:27.9,15.4,Hit,NO_TARGET,PISTOL,LINE,0.299735 3.808569 20.10303
0,27:27.9,15.4,Destroyed,LINEAR_MOTION,PISTOL,LINE,0.0006755591 3.521804 20.16603
0,27:30.5,18.0,Missed target,CIRCULAR_MOTION,PISTOL,LINE,
0,27:31.1,18.6,Hit,NO_TARGET,PISTOL,LINE,-1.155707 1.877429 20.30272
0,27:31.1,18.6,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,-1.361132 1.736271 20.32035
0,27:34.9,22.4,Destroyed,LINEAR_MOTION,PISTOL,LINE,-0.0001325607 7.712449 29.94948
0,27:34.9,22.4,Hit,NO_TARGET,PISTOL,LINE,-0.1289822 7.639093 29.9407
0,27:40.2,27.7,Destroyed,LINEAR_MOTION,PISTOL,LINE,-2.72155 4.336369 9.989261
0,27:40.2,27.7,Hit,NO_TARGET,PISTOL,LINE,-2.756754 4.210512 9.995003
0,27:44.3,31.8,Destroyed,LINEAR_MOTION,PISTOL,LINE,0.001138687 5.733761 10.14344
0,27:44.3,31.8,Hit,NO_TARGET,PISTOL,LINE,-0.0235004 5.800771 10.08482
0,27:49.5,37.0,Destroyed,CIRCULAR_MOTION,PISTOL,LINE,0.4172489 3.882684 9.875828
0,27:49.5,37.0,Hit,NO_TARGET,PISTOL,LINE,0.07484502 3.491864 9.981587
0,27:55.8,43.3,Missed target,LINEAR_MOTION,PISTOL,LINE,
0,27:56.3,43.8,Missed target,LINEAR_MOTION,PISTOL,LINE,
0,27:56.7,44.2,Missed target,LINEAR_MOTION,PISTOL,LINE,
0,27:57.3,44.8,Destroyed,LINEAR_MOTION,PISTOL,LINE,1.998138 4.342999 30.02696
0,27:57.3,44.8,Hit,NO_TARGET,PISTOL,LINE,1.970928 4.423503 29.99457
0,27:59.8,47.3,Missed target,LINEAR_MOTION,PISTOL,LINE,
0,28:03.7,51.2,Hit,NO_TARGET,PISTOL,LINE,1.551655 4.176347 20.0928
0,28:03.7,51.2,Destroyed,LINEAR_MOTION,PISTOL,LINE,1.894636 4.349313 20.05542
0,28:15.2,62.7,Hit,NO_TARGET,RIFLE,LINE,-0.187249 3.089212 10.14609
0,28:15.2,62.7,Destroyed,STATIC_MOTION,RIFLE,LINE,0.001205389 3.036538 10.18097
0,28:17.2,64.7,Missed target,STATIC_MOTION,RIFLE,LINE,
0,28:19.7,67.2,Hit,NO_TARGET,RIFLE,LINE,-7.910855 2.835355 10.3419
0,28:19.7,67.2,Destroyed,STATIC_MOTION,RIFLE,LINE,-8.128393 3.032958 10.16388
