Timestamp,InitiatedAction,ActionData,Id
29:11.4,started session,2,2
29:15.8,Destroyed, Cube (1) at (0.0002861077 3.041614 10.24119),2
29:15.8,Hit, with pistol at (0.3370056 3.057616 10.21266) using aim style 2,2
29:18.0,Missed target,,2
29:18.6,Destroyed, Cube (2) at (-8.124869 3.027208 10.15814),2
29:18.6,Hit, with pistol at (-8.093277 2.95977 10.16255) using aim style 2,2
29:20.8,Destroyed, Cube (3) at (8.124353 3.027143 10.15692),2
29:20.8,Hit, with pistol at (7.996715 3.103986 10.21259) using aim style 2,2
29:23.0,Missed target,,2
29:23.4,Destroyed, cricular motion at (-0.9858167 1.481197 20.33158),2
29:23.4,Hit, with pistol at (-0.9389886 1.71638 20.30617) using aim style 2,2
29:25.4,Missed target,,2
29:25.9,Destroyed, linear motion at (-3.847281 4.103863 9.228926),2
29:25.9,Hit, with pistol at (-3.461069 4.000817 9.39158) using aim style 2,2
29:28.0,Destroyed, linear motion at (2.384186E-06 7.678511 10.00583),2
29:28.0,Hit, with pistol at (-0.2755691 7.342795 10.19027) using aim style 2,2
29:29.9,Missed target,,2
29:30.2,Destroyed, linear motion at (-4.061577 4.322299 29.8279),2
29:30.2,Hit, with pistol at (-3.720369 4.723994 29.80762) using aim style 2,2
29:32.3,Missed target,,2
29:32.7,Destroyed, cricular motion at (1.116308 3.626876 9.949728),2
29:32.7,Hit, with pistol at (1.118027 3.298107 10.00169) using aim style 2,2
29:34.7,Missed target,,2
29:35.3,Missed target,,2
29:35.8,Destroyed, linear motion at (4.291535E-06 4.686028 19.98438),2
29:35.8,Hit, with pistol at (-0.1605579 4.566524 19.97947) using aim style 2,2
29:38.0,Missed target,,2
29:38.4,Missed target,,2
29:39.6,Missed target,,2
29:40.2,Missed target,,2
29:40.6,Missed target,,2
29:41.0,Destroyed, linear motion at (-2.658368E-05 7.287801 30.07822),2
29:41.0,Hit, with pistol at (-0.3698393 7.091404 30.09198) using aim style 2,2
29:43.1,Missed target,,2
29:44.2,Destroyed, cricular motion at (0.7273408 3.949573 30.08704),2
29:44.2,Hit, with pistol at (0.6701291 4.16118 30.04432) using aim style 2,2
29:47.3,Destroyed, linear motion at (-1.533443 4.320157 19.87152),2
29:47.3,Hit, with pistol at (-1.652827 4.452449 19.81656) using aim style 2,2
29:52.0,Destroyed, Cube (1) at (-0.0001367022 3.040774 10.23416),2
29:52.0,Hit, with rifle at (0.2683663 3.045404 10.20814) using aim style 2,2
29:54.2,Missed target,,2
29:54.5,Destroyed, Cube (2) at (-8.128117 3.028189 10.16154),2
29:54.5,Hit, with rifle at (-8.030313 3.049607 10.20316) using aim style 2,2
29:56.8,Missed target,,2
29:57.2,Destroyed, Cube (3) at (8.124323 3.027309 10.15679),2
29:57.2,Hit, with rifle at (8.061089 2.829481 10.20918) using aim style 2,2
29:59.9,Missed target,,2
30:03.1,Destroyed, linear motion at (2.365447 4.339487 29.99535),2
30:03.1,Hit, with rifle at (2.79437 4.187371 29.95179) using aim style 2,2
30:06.3,Destroyed, linear motion at (0.0001753867 5.708553 30.35123),2
30:06.3,Hit, with rifle at (-0.1382859 5.527005 30.35268) using aim style 2,2
30:09.1,Missed target,,2
30:09.9,Missed target,,2
30:10.4,Destroyed, linear motion at (-2.956391E-05 6.289122 19.92434),2
30:10.4,Hit, with rifle at (0.2900653 6.736285 19.78564) using aim style 2,2
30:12.4,Missed target,,2
30:13.2,Missed target,,2
30:13.7,Missed target,,2
30:14.5,Missed target,,2
