Timestamp,InitiatedAction,ActionData
03:46.7,Hit, with rifle at (0.5269311 0.8198559 10.20726) using aim style 1
03:49.2,Destroyed, linear motion at (-0.0003551245 5.772994 10.13738)
03:49.2,Hit, with rifle at (0.05122833 5.974164 10.01937) using aim style 1
03:51.8,Destroyed, linear motion at (-4.148811 4.250392 19.43618)
03:51.8,Hit, with rifle at (-4.327323 4.448771 19.34073) using aim style 1
03:54.2,Destroyed, linear motion at (-5.50309 3.81958 8.3507)
03:54.2,Hit, with rifle at (-5.643369 4.250285 8.092761) using aim style 1
03:56.2,Missed target,
03:56.8,Destroyed, linear motion at (-0.0001344681 5.140565 20.12091)
03:56.8,Hit, with rifle at (-0.3535731 5.242159 20.07496) using aim style 1
03:59.1,Destroyed, cricular motion at (-1.417556 2.113403 29.96484)
03:59.1,Hit, with rifle at (-1.363933 2.469882 29.9309) using aim style 1
04:01.4,Destroyed, cricular motion at (-0.03538195 1.073062 20.29191)
04:01.4,Hit, with rifle at (-0.01978147 1.566266 20.26875) using aim style 1
05:52.0,Destroyed, Cube (1) at (1.874269E-05 3.000387 10.00213)
05:52.0,Hit, with rifle at (0.05368213 2.877224 9.998642) using aim style 0
05:55.2,Destroyed, Cube (2) at (-8.06398 3.015197 10.08319)
05:55.2,Hit, with rifle at (-8.102948 3.054674 10.01414) using aim style 0
05:58.5,Destroyed, Cube (3) at (7.968103 2.99267 9.95945)
05:58.5,Hit, with rifle at (7.960429 2.858164 9.957674) using aim style 0
06:00.8,Missed target,
06:01.7,Destroyed, linear motion at (-0.002343893 5.723131 19.54496)
06:01.7,Hit, with rifle at (-0.152426 6.171489 19.41614) using aim style 0
06:02.0,Missed target,
06:03.9,Destroyed, cricular motion at (-0.9304345 1.338156 10.05901)
06:03.9,Hit, with rifle at (-1.171609 1.529129 10.01099) using aim style 0
06:06.6,Missed target,
06:07.3,Missed target,
06:08.2,Missed target,
06:08.7,Missed target,
06:09.2,Missed target,
06:10.7,Missed target,
06:11.8,Destroyed, linear motion at (-2.515096 4.301756 29.64082)
06:11.8,Hit, with rifle at (-2.141893 4.421368 29.63294) using aim style 0
06:15.4,Destroyed, cricular motion at (0.8788773 3.725875 29.72895)
06:15.4,Hit, with rifle at (0.7174724 3.984866 29.68677) using aim style 0
06:18.2,Missed target,
06:19.6,Destroyed, linear motion at (-0.0003201962 8.471584 29.90377)
06:19.6,Hit, with rifle at (-0.07668943 8.644298 29.83628) using aim style 0
06:21.8,Destroyed, cricular motion at (1.07603 3.570526 19.95332)
06:21.8,Hit, with rifle at (0.8835465 3.51417 19.94614) using aim style 0
06:24.3,Destroyed, linear motion at (0.003721834 4.758412 10.36734)
06:24.3,Hit, with rifle at (-0.2153252 4.671558 10.37269) using aim style 0
06:26.4,Destroyed, linear motion at (-0.2545767 4.33111 19.94391)
06:28.6,Missed target,
06:30.9,Destroyed, linear motion at (3.155998 4.087726 9.190505)
06:30.9,Hit, with rifle at (2.762666 4.449313 9.18549) using aim style 0
