Timestamp,InitiatedAction,ActionData
26:28.0,started session,7
27:12.5,Destroyed, Cube (1) at (0.001503551 3.042091 10.20793)
27:12.5,Hit, with pistol at (0.1387901 2.978915 10.19422) using aim style 1
27:16.1,Destroyed, Cube (2) at (-8.140751 3.036212 10.17916)
27:16.1,Hit, with pistol at (-8.104371 2.954062 10.19216) using aim style 1
27:19.5,Destroyed, Cube (3) at (8.079871 3.020192 10.09969)
27:19.5,Hit, with pistol at (8.027243 2.922629 10.12919) using aim style 1
27:23.2,Destroyed, cricular motion at (-0.3344207 3.946638 29.94593)
27:23.2,Hit, with pistol at (-0.2170935 3.619423 29.9544) using aim style 1
27:25.6,Missed target,
27:27.9,Destroyed, linear motion at (0.0006755591 3.521804 20.16603)
27:27.9,Hit, with pistol at (0.299735 3.808569 20.10303) using aim style 1
27:30.5,Missed target,
27:31.1,Destroyed, cricular motion at (-1.361132 1.736271 20.32035)
27:31.1,Hit, with pistol at (-1.155707 1.877429 20.30272) using aim style 1
27:34.9,Destroyed, linear motion at (-0.0001325607 7.712449 29.94948)
27:34.9,Hit, with pistol at (-0.1289822 7.639093 29.9407) using aim style 1
27:40.2,Destroyed, linear motion at (-2.72155 4.336369 9.989261)
27:40.2,Hit, with pistol at (-2.756754 4.210512 9.995003) using aim style 1
27:44.3,Destroyed, linear motion at (0.001138687 5.733761 10.14344)
27:44.3,Hit, with pistol at (-0.0235004 5.800771 10.08482) using aim style 1
27:49.5,Destroyed, cricular motion at (0.4172489 3.882684 9.875828)
27:49.5,Hit, with pistol at (0.07484502 3.491864 9.981587) using aim style 1
27:55.8,Missed target,
27:56.3,Missed target,
27:56.7,Missed target,
27:57.3,Destroyed, linear motion at (1.998138 4.342999 30.02696)
27:57.3,Hit, with pistol at (1.970928 4.423503 29.99457) using aim style 1
27:59.8,Missed target,
28:03.7,Destroyed, linear motion at (1.894636 4.349313 20.05542)
28:03.7,Hit, with pistol at (1.551655 4.176347 20.0928) using aim style 1
28:15.2,Destroyed, Cube (1) at (0.001205389 3.036538 10.18097)
28:15.2,Hit, with rifle at (-0.187249 3.089212 10.14609) using aim style 1
28:17.2,Missed target,
28:19.7,Destroyed, Cube (2) at (-8.128393 3.032958 10.16388)
28:19.7,Hit, with rifle at (-7.910855 2.835355 10.3419) using aim style 1
28:23.4,Destroyed, Cube (3) at (8.062607 3.015785 10.07832)
28:27.7,Destroyed, linear motion at (-0.0002863407 4.710195 19.92989)
28:27.7,Hit, with rifle at (-0.4903635 4.620413 19.92328) using aim style 1
28:31.2,Destroyed, cricular motion at (-0.00902257 0.9857059 10.71742)
28:31.2,Hit, with rifle at (0.3128451 1.466093 10.68966) using aim style 1
28:35.8,Destroyed, linear motion at (0.008698584 4.864027 11.21903)
28:35.8,Hit, with rifle at (0.07721621 4.99257 11.14782) using aim style 1
28:40.0,Destroyed, cricular motion at (-0.2239247 4.000345 20.09051)
28:40.0,Hit, with rifle at (-0.05128269 4.311599 20.02003) using aim style 1
28:42.7,Destroyed, cricular motion at (1.094813 1.490569 30.18191)
28:42.7,Hit, with rifle at (1.394198 1.744561 30.1411) using aim style 1
28:46.2,Missed target,
28:46.6,Missed target,
28:49.1,Missed target,
28:50.0,Destroyed, linear motion at (-0.000576973 9.700832 29.74397)
28:50.0,Hit, with rifle at (-0.2283377 9.810319 29.68638) using aim style 1
28:53.0,Destroyed, linear motion at (-3.740909 4.304873 29.68692)
28:53.0,Hit, with rifle at (-3.771949 4.371237 29.65033) using aim style 1
