Timestamp,InitiatedAction,ActionData,Id
19:39.4,started session,3,3
19:57.1,Destroyed, Cube (1) at (-0.001143069 3.030752 10.17472),3
19:57.1,Hit, with rifle at (0.1033567 2.961509 10.16221) using aim style 0,3
20:01.8,Destroyed, Cube (2) at (-8.089005 3.019765 10.11118),3
20:01.8,Hit, with rifle at (-7.959772 2.891286 10.20514) using aim style 0,3
20:05.7,Destroyed, Cube (3) at (8.083402 3.018516 10.10508),3
20:05.7,Hit, with rifle at (7.864118 3.350915 10.18834) using aim style 0,3
20:08.1,Missed target,,3
20:08.8,Destroyed, cricular motion at (1.300869 1.79487 10.15566),3
20:08.8,Hit, with rifle at (1.295198 1.770815 10.13248) using aim style 0,3
20:11.3,Missed target,,3
20:11.9,Missed target,,3
20:12.7,Missed target,,3
20:13.9,Missed target,,3
20:14.4,Destroyed, cricular motion at (0.2428799 4.10001 30.03319),3
20:14.4,Hit, with rifle at (0.7384456 3.652283 30.04766) using aim style 0,3
20:17.2,Destroyed, linear motion at (-1.006212 4.316702 19.85005),3
20:17.2,Hit, with rifle at (-1.015439 3.969424 19.87812) using aim style 0,3
20:20.0,Missed target,,3
20:21.1,Destroyed, linear motion at (-0.0003211499 3.339513 20.39383),3
20:21.1,Hit, with rifle at (-0.01763635 3.462608 20.35597) using aim style 0,3
20:23.3,Destroyed, cricular motion at (-0.3430635 4.055081 19.86069),3
20:23.3,Hit, with rifle at (-0.1748897 3.923505 19.85716) using aim style 0,3
20:26.8,Missed target,,3
20:27.4,Destroyed, linear motion at (-0.0003885329 5.647136 30.62685),3
20:27.4,Hit, with rifle at (-0.0471932 5.536548 30.61752) using aim style 0,3
20:29.4,Destroyed, linear motion at (-0.06301498 4.345408 30.05242),3
20:29.4,Hit, with rifle at (-0.06842926 4.336583 30.02818) using aim style 0,3
20:32.6,Missed target,,3
20:34.6,Destroyed, linear motion at (-0.00114727 5.828299 10.85654),3
20:34.6,Hit, with rifle at (-0.1305944 5.857907 10.81689) using aim style 0,3
20:37.4,Destroyed, linear motion at (6.351919 3.826809 8.340929),3
20:37.4,Hit, with rifle at (5.961259 3.984396 8.554545) using aim style 0,3
20:48.0,Destroyed, Cube (1) at (-0.0005644233 3.035241 10.20086),3
20:48.0,Hit, with pistol at (-0.2792236 3.193863 10.14687) using aim style 0,3
20:51.6,Destroyed, Cube (2) at (-8.087717 3.019441 10.11034),3
20:51.6,Hit, with pistol at (-7.784383 3.038178 10.31594) using aim style 0,3
20:57.8,Destroyed, Cube (3) at (8.104477 3.023371 10.13249),3
20:57.8,Hit, with pistol at (8.019902 3.107808 10.15214) using aim style 0,3
21:01.0,Missed target,,3
21:01.5,Missed target,,3
21:02.0,Destroyed, cricular motion at (1.525145 2.690326 19.96169),3
21:02.0,Hit, with pistol at (1.42408 2.864998 19.93125) using aim style 0,3
21:04.9,Missed target,,3
21:06.9,Missed target,,3
21:07.4,Missed target,,3
21:08.1,Missed target,,3
21:09.5,Missed target,,3
21:10.0,Missed target,,3
21:10.4,Missed target,,3
21:12.2,Missed target,,3
21:13.0,Missed target,,3
21:13.6,Missed target,,3
21:14.6,Missed target,,3
21:15.0,Destroyed, linear motion at (-0.004180193 5.639148 10.96969),3
21:15.0,Hit, with pistol at (-0.2453547 5.272104 11.0874) using aim style 0,3
21:17.9,Destroyed, cricular motion at (-0.0251619 4.079495 9.846881),3
21:17.9,Hit, with pistol at (-0.4693092 4.347227 9.741058) using aim style 0,3
21:20.3,Missed target,,3
21:20.9,Destroyed, linear motion at (-2.396793 4.217609 9.604266),3
21:20.9,Hit, with pistol at (-2.222119 3.744489 9.76748) using aim style 0,3
21:23.2,Missed target,,3
21:24.0,Missed target,,3
21:24.6,Missed target,,3
21:24.9,Missed target,,3
21:25.6,Missed target,,3
21:26.5,Destroyed, linear motion at (0.000133276 9.306297 29.8775),3
