Timestamp,InitiatedAction,ActionData
29:33.1,Destroyed, cricular motion at (-0.6768616 3.939023 10.25767)
29:33.1,Hit, with rifle at (-0.3647218 4.241154 10.16623) using aim style 2
29:35.4,Destroyed, linear motion at (7.390977E-06 4.59126 20.23483)
29:35.4,Hit, with rifle at (0.2246339 4.818723 20.16923) using aim style 2
29:37.4,Missed target,
29:38.0,Missed target,
29:38.7,Missed target,
29:39.3,Destroyed, cricular motion at (-0.7341073 1.187874 20.32991)
29:39.3,Hit, with rifle at (-0.6054323 1.522868 20.30642) using aim style 2
29:42.3,Missed target,
29:42.9,Missed target,
29:43.3,Destroyed, linear motion at (-3.218651E-06 5.667489 10.14119)
29:43.3,Hit, with rifle at (0.007875168 5.877707 10.01833) using aim style 2
29:45.8,Destroyed, linear motion at (-0.0002147258 5.820074 30.6228)
29:45.8,Hit, with rifle at (-0.31761 5.943229 30.57804) using aim style 2
29:48.3,Destroyed, cricular motion at (-1.141532 3.489376 30.0969)
29:48.3,Hit, with rifle at (-0.8263966 3.427961 30.08879) using aim style 2
29:51.3,Destroyed, linear motion at (-0.1984558 4.32178 19.89071)
29:51.3,Hit, with rifle at (-0.4716273 4.192083 19.88406) using aim style 2
29:54.0,Missed target,
29:54.9,Destroyed, linear motion at (-3.991691 4.041783 9.099623)
29:54.9,Hit, with rifle at (-4.13966 3.876271 9.062084) using aim style 2
31:19.4,Destroyed, Cube (1) at (-0.0003893763 3.032037 10.16243)
31:19.4,Hit, with rifle at (-0.4996676 3.257228 10.09133) using aim style 0
31:22.4,Missed target,
31:23.3,Destroyed, Cube (2) at (-8.098315 3.02457 10.12431)
31:23.3,Hit, with rifle at (-8.402913 3.386031 9.779696) using aim style 0
31:26.2,Missed target,
31:26.8,Missed target,
31:28.8,Missed target,
31:29.4,Destroyed, Cube (3) at (8.103013 3.025882 10.1312)
31:29.4,Hit, with rifle at (7.835061 2.990838 10.31633) using aim style 0
31:32.8,Missed target,
31:33.2,Missed target,
31:33.8,Missed target,
31:34.2,Missed target,
31:34.6,Destroyed, cricular motion at (1.108725 1.498159 30.00549)
31:34.6,Hit, with rifle at (1.127473 1.174164 29.98512) using aim style 0
31:37.5,Missed target,
31:38.1,Missed target,
31:38.6,Missed target,
31:39.0,Missed target,
31:39.3,Destroyed, cricular motion at (1.345033 1.804504 20.25538)
31:39.3,Hit, with rifle at (1.062765 2.057289 20.2389) using aim style 0
31:41.4,Missed target,
31:41.8,Missed target,
31:42.2,Missed target,
31:42.4,Destroyed, linear motion at (6.196537 4.256251 29.2447)
31:42.4,Hit, with rifle at (6.230786 4.65311 29.16779) using aim style 0
31:45.0,Missed target,
31:45.3,Destroyed, linear motion at (-0.0003335476 9.157056 29.53188)
31:45.3,Hit, with rifle at (0.06755047 8.794075 29.60567) using aim style 0
31:47.8,Missed target,
31:48.2,Destroyed, linear motion at (-5.419926 3.810322 8.393217)
31:48.2,Hit, with rifle at (-5.745003 3.526626 8.250025) using aim style 0
31:50.7,Destroyed, linear motion at (-5.234202 4.204484 19.18273)
31:50.7,Hit, with rifle at (-5.588093 4.51572 19.00876) using aim style 0
31:53.1,Destroyed, cricular motion at (0.4127273 3.912759 9.817083)
31:53.1,Hit, with rifle at (0.2680046 4.218808 9.707441) using aim style 0
31:55.2,Missed target,
31:55.6,Missed target,
31:56.1,Missed target,
31:56.6,Destroyed, linear motion at (0.0001358986 6.747339 19.7082)
31:56.6,Hit, with rifle at (0.1662402 6.618653 19.71948) using aim style 0
31:59.2,Missed target,
31:59.9,Missed target,
32:00.4,Destroyed, linear motion at (0.0009388925 7.937099 8.759732)
32:00.4,Hit, with rifle at (0.007706714 7.631087 8.965774) using aim style 0
32:10.7,Destroyed, Cube (1) at (0.0003673281 3.032748 10.16592)
32:10.7,Hit, with pistol at (-0.3631072 3.180242 10.11213) using aim style 0
32:14.1,Destroyed, Cube (2) at (-8.096091 3.024042 10.12192)
32:14.1,Hit, with pistol at (-8.422031 3.392923 9.760068) using aim style 0
32:17.1,Missed target,
32:17.7,Destroyed, Cube (3) at (8.073757 3.018332 10.09312)
32:17.7,Hit, with pistol at (7.890647 3.364849 10.13767) using aim style 0
32:20.4,Missed target,
32:21.2,Missed target,
32:21.9,Missed target,
32:23.0,Missed target,
32:23.7,Missed target,
32:24.1,Destroyed, linear motion at (0.0008856357 5.859979 30.57512)
32:24.1,Hit, with pistol at (-0.3457685 5.7294 30.57096) using aim style 0
32:27.1,Missed target,
32:27.6,Missed target,
32:28.3,Missed target,
32:29.5,Missed target,
32:30.4,Missed target,
32:31.1,Destroyed, cricular motion at (-1.459393 1.985202 10.12493)
32:31.1,Hit, with pistol at (-1.731481 1.960077 10.06497) using aim style 0
32:34.2,Destroyed, linear motion at (0.003252462 4.246461 10.67676)
32:34.2,Hit, with pistol at (-0.4004274 4.487054 10.58058) using aim style 0
32:37.1,Missed target,
32:37.7,Missed target,
32:38.3,Missed target,
32:39.4,Missed target,
32:40.1,Missed target,
32:40.6,Missed target,
32:40.9,Missed target,
32:41.2,Destroyed, cricular motion at (1.487162 2.526048 29.97202)
32:41.2,Hit, with pistol at (1.635843 2.91429 29.91973) using aim style 0
32:41.4,Missed target,
32:44.2,Missed target,
32:44.6,Missed target,
32:45.5,Missed target,
32:46.4,Missed target,
32:46.8,Missed target,
32:48.2,Missed target,
32:49.2,Missed target,
32:49.9,Missed target,
32:50.3,Destroyed, linear motion at (-0.0007438661 7.167028 19.60658)
32:50.3,Hit, with pistol at (-0.011738 7.502074 19.47563) using aim style 0
32:53.8,Missed target,
32:54.2,Missed target,
32:54.6,Destroyed, cricular motion at (-0.6565965 3.847022 19.9039)
32:54.6,Hit, with pistol at (-0.8366907 3.512525 19.92074) using aim style 0
32:57.6,Missed target,
32:58.0,Destroyed, linear motion at (1.195354 4.313292 19.83927)
32:58.0,Hit, with pistol at (0.8767461 4.531057 19.79752) using aim style 0
33:01.0,Missed target,
33:01.4,Destroyed, linear motion at (2.919909 4.149901 9.422777)
33:01.4,Hit, with pistol at (2.66742 4.031732 9.512795) using aim style 0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
