Timestamp,InitiatedAction,ActionData
01:16.6,Hit, with pistol at (-0.004166846 2.968904 9.847795) using aim style 2
01:22.6,Destroyed, Cube (2) at (-8.12214 3.032671 10.16991)
01:22.6,Hit, with pistol at (-8.109871 3.030864 10.14791) using aim style 2
01:22.7,Missed target,
01:29.5,Destroyed, Cube (3) at (7.769578 2.94522 9.716248)
01:29.5,Hit, with pistol at (7.729846 2.95926 9.713238) using aim style 2
01:35.1,Destroyed, cricular motion at (0.1235783 3.942926 29.74218)
01:35.1,Hit, with pistol at (-0.3061927 3.792416 29.74063) using aim style 2
01:38.0,Destroyed, cricular motion at (-1.630481 3.104712 19.87995)
01:38.0,Hit, with pistol at (-1.38437 2.820154 19.89806) using aim style 2
01:43.1,Destroyed, cricular motion at (-1.488847 1.642972 9.902136)
01:43.1,Hit, with pistol at (-1.24841 1.505821 9.908675) using aim style 2
01:45.5,Destroyed, linear motion at (-1.516112 4.292719 29.56981)
01:45.5,Hit, with pistol at (-1.38772 4.083514 29.57198) using aim style 2
01:52.2,Destroyed, linear motion at (0.03837586 5.056936 10.8008)
01:52.2,Hit, with pistol at (0.2142178 5.023109 10.77792) using aim style 2
01:55.1,Destroyed, linear motion at (-6.506882 3.791805 8.27874)
01:55.1,Hit, with pistol at (-6.295396 3.764401 8.401365) using aim style 2
01:55.1,Missed target,
01:57.9,Destroyed, linear motion at (-0.001267225 5.920421 29.92278)
02:00.4,Destroyed, linear motion at (-6.00968 4.186083 19.0547)
02:00.4,Hit, with pistol at (-6.166752 4.034017 19.00882) using aim style 2
02:03.5,Destroyed, linear motion at (-0.006526113 3.733024 19.73594)
02:03.5,Hit, with pistol at (0.2096502 3.933002 19.67843) using aim style 2
02:20.0,Destroyed, Cube (1) at (-0.006771514 2.971697 9.854085)
02:20.0,Hit, with rifle at (0.02211079 2.955734 9.830349) using aim style 2
02:25.8,Destroyed, Cube (2) at (-8.075522 3.020015 10.10586)
02:25.8,Hit, with rifle at (-8.035357 3.039469 10.09977) using aim style 2
02:32.5,Destroyed, Cube (3) at (7.719611 2.934062 9.649229)
02:32.5,Hit, with rifle at (7.709368 2.872275 9.636683) using aim style 2
02:34.7,Destroyed, cricular motion at (0.241492 1.090727 9.806939)
02:34.7,Hit, with rifle at (0.1204935 0.6279061 9.793149) using aim style 2
02:37.0,Destroyed, cricular motion at (-1.745378 2.474845 19.79194)
02:37.0,Hit, with rifle at (-1.845088 2.785597 19.73856) using aim style 2
02:39.7,Destroyed, linear motion at (0.002266348 5.901078 30.14376)
02:39.7,Hit, with rifle at (0.2940304 6.128133 30.07779) using aim style 2
02:42.1,Destroyed, linear motion at (-3.313946 4.04568 9.063453)
02:42.1,Hit, with rifle at (-3.531116 4.148819 8.939864) using aim style 2
02:44.4,Destroyed, linear motion at (1.164831 4.278736 19.62075)
02:44.4,Hit, with rifle at (1.093299 4.705369 19.5323) using aim style 2
02:46.9,Missed target,
02:47.4,Missed target,
02:48.1,Destroyed, linear motion at (-0.01264644 6.041731 19.46652)
02:48.1,Hit, with rifle at (0.1410471 5.689194 19.52538) using aim style 2
02:50.7,Missed target,
02:51.6,Missed target,
02:53.3,Destroyed, linear motion at (0.8532476 4.29495 29.5849)
02:53.3,Hit, with rifle at (0.9884381 4.316379 29.55134) using aim style 2
02:57.1,Destroyed, cricular motion at (-1.100789 3.738395 29.6118)
02:57.1,Hit, with rifle at (-0.9632514 4.003702 29.56555) using aim style 2
03:02.2,Destroyed, linear motion at (0.02737451 5.270972 10.59416)
03:02.2,Hit, with rifle at (0.2011294 5.442447 10.49446) using aim style 2
05:42.2,Destroyed, Cube (1) at (-0.005872039 2.905179 9.490648)
05:42.2,Hit, with rifle at (0.01228348 3.009638 9.445561) using aim style 0
05:47.3,Destroyed, Cube (2) at (-7.813582 2.951831 9.743125)
05:47.3,Hit, with rifle at (-7.894847 3.213547 9.60383) using aim style 0
05:52.7,Destroyed, Cube (3) at (7.710144 2.928036 9.614718)
05:56.7,Missed target,
05:59.2,Destroyed, linear motion at (-0.001327396 4.566357 9.896362)
05:59.2,Hit, with rifle at (0.0887324 4.415787 9.919314) using aim style 0
06:02.9,Missed target,
06:04.2,Missed target,
06:05.8,Missed target,
06:06.9,Destroyed, linear motion at (1.589207 4.249082 29.16856)
06:06.9,Hit, with rifle at (1.800255 4.208461 29.13574) using aim style 0
06:12.5,Destroyed, linear motion at (-1.906446 4.034025 9.016814)
06:12.5,Hit, with rifle at (-2.012815 3.995237 8.983755) using aim style 0
06:17.3,Destroyed, cricular motion at (-1.511832 2.850051 29.40242)
06:17.3,Hit, with rifle at (-1.983414 2.882614 29.35382) using aim style 0
06:21.3,Destroyed, linear motion at (-1.039302 4.203731 19.1594)
06:21.3,Hit, with rifle at (-0.9304206 3.913253 19.18606) using aim style 0
06:24.3,Destroyed, cricular motion at (-1.497342 2.908702 19.47954)
06:24.3,Hit, with rifle at (-1.428371 2.810871 19.46831) using aim style 0
06:28.0,Missed target,
06:30.2,Missed target,
06:32.8,Destroyed, linear motion at (-0.002178312 6.129685 29.5094)
06:32.8,Hit, with rifle at (0.2875977 6.295478 29.45455) using aim style 0
06:37.1,Destroyed, linear motion at (-0.004904986 4.470549 19.23348)
06:37.1,Hit, with rifle at (0.1905296 4.71729 19.16391) using aim style 0
06:42.3,Destroyed, cricular motion at (-1.175829 1.500228 9.487552)
06:42.3,Hit, with rifle at (-1.195291 1.473182 9.461733) using aim style 0
06:56.3,Missed target,
07:00.5,Missed target,
07:11.8,Destroyed, Cube (1) at (-0.006195168 2.899464 9.459988)
07:11.8,Hit, with pistol at (0.01239214 2.678403 9.475499) using aim style 0
07:19.5,Destroyed, Cube (2) at (-7.789081 2.945951 9.710618)
07:19.5,Hit, with pistol at (-7.781885 2.641041 9.741527) using aim style 0
07:28.2,Destroyed, Cube (3) at (7.693938 2.923849 9.593081)
07:28.2,Hit, with pistol at (7.686137 2.71347 9.606688) using aim style 0
07:31.4,Missed target,
07:36.6,Destroyed, cricular motion at (-0.5654702 1.072112 29.32575)
07:36.6,Hit, with pistol at (-0.3003952 0.9287701 29.30504) using aim style 0
07:41.9,Destroyed, linear motion at (0.2248573 4.075357 9.147017)
07:41.9,Hit, with pistol at (0.1431001 3.669577 9.249794) using aim style 0
07:45.8,Destroyed, cricular motion at (-0.6195359 1.087304 19.37556)
07:45.8,Hit, with pistol at (-0.4712723 0.9860071 19.35459) using aim style 0
,,
