Timestamp,InitiatedAction,ActionData
55:23.0,started session,8
56:09.0,Destroyed, Cube (1) at (0.0007531976 3.066466 10.31737)
56:09.0,Hit, with pistol at (-2.249092E-05 3.050022 10.29527) using aim style 1
56:16.5,Destroyed, Cube (2) at (-8.181128 3.047388 10.22798)
56:16.5,Hit, with pistol at (-8.159599 3.063181 10.20945) using aim style 1
56:29.2,Destroyed, Cube (3) at (8.198787 3.051739 10.24941)
56:29.2,Hit, with pistol at (8.185515 3.011956 10.23585) using aim style 1
56:34.6,Destroyed, linear motion at (-0.8051491 4.29844 9.875459)
56:34.6,Hit, with pistol at (-0.8861093 4.231989 9.864223) using aim style 1
56:39.4,Destroyed, linear motion at (-9.679796E-05 6.85785 30.52733)
56:39.4,Hit, with pistol at (-0.09623971 6.449521 30.58046) using aim style 1
56:42.6,Destroyed, linear motion at (-1.597405E-05 4.606944 20.04511)
56:45.6,Destroyed, cricular motion at (1.17314 3.437373 10.0563)
56:45.6,Hit, with pistol at (1.324276 3.234324 10.06335) using aim style 1
56:47.9,Destroyed, linear motion at (1.251299 4.374262 20.20402)
56:47.9,Hit, with pistol at (1.294586 4.574004 20.14236) using aim style 1
56:50.2,Destroyed, cricular motion at (-1.051833 3.587256 30.1893)
56:50.2,Hit, with pistol at (-1.079337 3.332439 30.18523) using aim style 1
56:50.3,Missed target,
56:53.2,Destroyed, linear motion at (4.252071 4.327513 29.8892)
56:53.2,Hit, with pistol at (4.236112 4.386848 29.8594) using aim style 1
56:56.7,Missed target,
56:57.2,Missed target,
56:58.5,Destroyed, linear motion at (-1.454354E-05 5.979122 10.08424)
56:58.5,Hit, with pistol at (0.04767402 6.203178 9.94664) using aim style 1
57:01.9,Destroyed, cricular motion at (1.418367 1.950674 20.36106)
57:01.9,Hit, with pistol at (1.380551 2.115441 20.33086) using aim style 1
57:47.2,Destroyed, Cube (1) at (-0.0002639768 3.010287 10.05317)
57:47.2,Hit, with rifle at (-0.04395884 2.988237 10.03175) using aim style 1
57:54.8,Destroyed, Cube (2) at (-8.038702 3.009675 10.04948)
57:54.8,Hit, with rifle at (-7.991895 3.010995 10.05372) using aim style 1
58:04.3,Destroyed, Cube (3) at (8.043081 3.010793 10.0552)
58:04.3,Hit, with rifle at (8.060862 2.84368 10.04191) using aim style 1
58:13.6,Destroyed, cricular motion at (-0.975826 1.337739 10.53934)
58:13.6,Hit, with rifle at (-0.9055823 1.394657 10.51885) using aim style 1
58:19.1,Destroyed, linear motion at (-0.001696289 4.848642 11.07005)
58:19.1,Hit, with rifle at (-0.09131764 4.722919 11.08587) using aim style 1
58:23.5,Destroyed, cricular motion at (-1.042998 1.423835 20.17937)
58:23.5,Hit, with rifle at (-0.7023219 1.179571 20.17668) using aim style 1
58:30.4,Destroyed, linear motion at (-0.581563 4.376946 10.11401)
58:30.4,Hit, with rifle at (-0.368045 4.326975 10.11561) using aim style 1
58:35.8,Destroyed, linear motion at (0.03713417 4.339879 19.99948)
58:35.8,Hit, with rifle at (0.464227 4.275642 19.9837) using aim style 1
58:38.4,Missed target,
58:43.6,Destroyed, linear motion at (7.148806 4.239901 29.09449)
58:43.6,Hit, with rifle at (7.255181 4.026198 29.06639) using aim style 1
58:45.8,Destroyed, linear motion at (6.735326E-06 3.110859 20.03106)
58:45.8,Hit, with rifle at (0.2300708 3.565876 19.95881) using aim style 1
58:50.8,Missed target,
58:52.9,Missed target,
58:55.5,Destroyed, linear motion at (5.412102E-05 6.284768 30.41987)
58:55.5,Hit, with rifle at (0.0234853 6.135047 30.42033) using aim style 1
59:02.3,Destroyed, cricular motion at (-1.196656 1.586167 30.07992)
59:02.3,Hit, with rifle at (-1.277261 1.851531 30.04656) using aim style 1
01:16.6,Destroyed, Cube (1) at (-0.005906078 2.975396 9.87211)
