Timestamp,InitiatedAction,ActionData
33:36.2,started session,4
34:32.5,Destroyed, Cube (1) at (0.0009096453 3.04766 10.25642)
34:32.5,Hit, with pistol at (0.05205907 2.942348 10.25038) using aim style 2
34:34.7,Destroyed, Cube (2) at (-8.149867 3.035137 10.18905)
34:34.7,Hit, with pistol at (-8.155475 3.040459 10.15138) using aim style 2
34:36.9,Destroyed, Cube (3) at (8.121942 3.028297 10.15226)
34:36.9,Hit, with pistol at (8.207218 2.800768 10.09388) using aim style 2
34:39.4,Destroyed, cricular motion at (-0.1371944 4.090774 20.17756)
34:39.4,Hit, with pistol at (0.2986128 4.019199 20.16475) using aim style 2
34:41.9,Destroyed, cricular motion at (-0.7900728 1.261182 10.73759)
34:41.9,Hit, with pistol at (-1.074063 1.087856 10.69472) using aim style 2
34:44.2,Missed target,
34:44.6,Destroyed, linear motion at (-3.037096 4.332898 9.977859)
34:44.6,Hit, with pistol at (-2.955053 4.308434 9.982891) using aim style 2
34:46.8,Missed target,
34:47.2,Destroyed, linear motion at (0.0007630588 3.37589 20.4865)
34:47.2,Hit, with pistol at (-0.3928807 3.200444 20.48109) using aim style 2
34:49.3,Missed target,
34:49.9,Destroyed, linear motion at (0.001615525 6.865357 10.45478)
34:49.9,Hit, with pistol at (0.2688024 7.103622 10.29525) using aim style 2
34:52.0,Missed target,
34:52.3,Destroyed, linear motion at (-0.8047113 4.335264 29.9558)
34:52.3,Hit, with pistol at (-1.188613 4.776478 29.87391) using aim style 2
34:54.3,Missed target,
34:54.7,Destroyed, linear motion at (3.809406 4.313986 19.83722)
34:54.7,Hit, with pistol at (3.874054 4.675519 19.74124) using aim style 2
34:56.7,Missed target,
34:57.0,Missed target,
34:57.3,Missed target,
34:57.7,Missed target,
34:58.1,Destroyed, linear motion at (-0.000351429 10.1824 29.69139)
34:58.1,Hit, with pistol at (0.04131337 10.35512 29.61267) using aim style 2
35:00.1,Missed target,
35:00.5,Destroyed, cricular motion at (0.03436736 4.068848 29.96219)
35:00.5,Hit, with pistol at (-0.1046637 4.106478 29.93373) using aim style 2
35:08.0,Destroyed, Cube (1) at (0.001111785 3.04809 10.25861)
35:08.0,Hit, with rifle at (0.2373233 2.883114 10.26285) using aim style 2
35:11.6,Destroyed, Cube (2) at (-8.150156 3.035182 10.18937)
35:11.6,Hit, with rifle at (-8.204051 3.22001 10.08006) using aim style 2
35:14.5,Destroyed, Cube (3) at (8.127533 3.029635 10.15947)
35:14.5,Hit, with rifle at (8.085686 3.495345 10.07405) using aim style 2
35:16.7,Missed target,
35:17.0,Destroyed, linear motion at (1.074501 4.44424 10.32648)
35:17.0,Hit, with rifle at (0.7326618 4.675225 10.26298) using aim style 2
35:17.3,Missed target,
35:19.2,Missed target,
35:19.5,Missed target,
35:19.7,Missed target,
35:20.0,Destroyed, linear motion at (-0.0006232262 9.599314 29.53508)
35:20.0,Hit, with rifle at (-0.1212769 9.161737 29.63451) using aim style 2
35:22.2,Missed target,
35:22.5,Destroyed, linear motion at (4.816133 4.280607 19.62885)
35:22.5,Hit, with rifle at (4.62786 4.385551 19.63252) using aim style 2
35:24.5,Destroyed, cricular motion at (1.515385 2.230048 10.59794)
35:24.5,Hit, with rifle at (1.359733 2.257637 10.59247) using aim style 2
35:26.5,Missed target,
35:26.8,Missed target,
35:27.1,Missed target,
35:27.3,Destroyed, linear motion at (4.018392 4.3258 29.86721)
35:27.3,Hit, with rifle at (4.022476 4.376618 29.83586) using aim style 2
35:29.8,Missed target,
35:30.2,Missed target,
35:30.5,Destroyed, cricular motion at (1.486488 2.697215 30.186)
35:30.5,Hit, with rifle at (1.65803 2.75794 30.14915) using aim style 2
35:32.5,Missed target,
35:32.8,Destroyed, cricular motion at (0.980785 1.439268 20.36605)
35:32.8,Hit, with rifle at (0.5953741 1.376241 20.36119) using aim style 2
35:35.0,Missed target,
35:35.3,Missed target,
35:35.6,Missed target,
35:36.0,Missed target,
35:36.3,Missed target,
35:36.6,Missed target,
35:36.8,Missed target,
35:37.1,Destroyed, linear motion at (-5.684342E-14 6.11919 19.99984)
35:39.4,Missed target,
35:39.6,Missed target,
35:39.9,Missed target,
35:40.2,Destroyed, linear motion at (0.003962636 5.582198 11.06025)
35:40.2,Hit, with rifle at (0.42374 5.311009 11.14031) using aim style 2
38:34.6,Missed target,
38:35.4,Destroyed, Cube (1) at (0.0001259767 3.046388 10.25039)
38:35.4,Hit, with rifle at (-0.04311986 3.171581 10.20179) using aim style 0
38:37.9,Missed target,
38:38.3,Destroyed, Cube (2) at (-8.13235 3.030787 10.16623)
38:38.3,Hit, with rifle at (-8.309788 3.30433 9.942016) using aim style 0
38:40.5,Missed target,
38:40.9,Destroyed, Cube (3) at (8.132617 3.030897 10.16675)
38:40.9,Hit, with rifle at (7.763508 3.32489 10.37355) using aim style 0
38:43.0,Missed target,
38:43.4,Missed target,
38:43.8,Missed target,
38:44.1,Missed target,
38:44.5,Missed target,
38:44.8,Missed target,
38:45.2,Missed target,
38:45.5,Missed target,
38:45.8,Missed target,
38:46.2,Destroyed, linear motion at (1.735891 4.320738 19.87959)
38:46.2,Hit, with rifle at (2.194185 4.384823 19.80393) using aim style 0
38:48.4,Missed target,
38:48.7,Missed target,
38:49.0,Destroyed, cricular motion at (1.485823 2.786276 20.03852)
38:49.0,Hit, with rifle at (1.596184 2.792 20.00469) using aim style 0
38:50.9,Missed target,
38:51.2,Missed target,
38:51.5,Destroyed, linear motion at (-8.630753E-05 6.981344 19.75322)
38:51.5,Hit, with rifle at (-0.07597005 7.154536 19.67607) using aim style 0
38:53.3,Missed target,
38:53.9,Missed target,
38:54.7,Missed target,
38:55.0,Missed target,
38:55.3,Destroyed, linear motion at (-0.0001118183 6.64986 9.778878)
38:55.3,Hit, with rifle at (0.4381598 6.737876 9.700769) using aim style 0
38:57.2,Missed target,
38:57.5,Missed target,
38:57.8,Destroyed, linear motion at (2.17571 4.244888 9.701029)
38:57.8,Hit, with rifle at (2.330941 4.690651 9.497788) using aim style 0
38:59.8,Missed target,
39:00.2,Missed target,
39:00.4,Destroyed, linear motion at (1.180172E-05 7.178911 30.10877)
39:00.4,Hit, with rifle at (0.4170071 6.917402 30.13556) using aim style 0
39:02.2,Missed target,
39:02.9,Missed target,
39:03.2,Missed target,
39:03.5,Destroyed, cricular motion at (0.1416205 1.077359 10.32458)
39:03.5,Hit, with rifle at (0.08861152 0.9744825 10.29964) using aim style 0
39:05.3,Missed target,
39:06.1,Destroyed, linear motion at (-5.8211 4.275844 29.39711)
