Timestamp,InitiatedAction,ActionData
39:06.1,Hit, with rifle at (-5.936698 4.300133 29.34608) using aim style 0
39:06.4,Missed target,
39:07.9,Missed target,
39:08.3,Missed target,
39:09.1,Missed target,
39:09.4,Missed target,
39:09.9,Destroyed, cricular motion at (1.412801 3.0722 30.00117)
39:09.9,Hit, with rifle at (1.427263 3.361932 29.95682) using aim style 0
39:11.2,Missed target,
39:18.5,Destroyed, Cube (1) at (0.0001233053 3.045158 10.24416)
39:18.5,Hit, with pistol at (-0.1217384 2.993629 10.22832) using aim style 0
39:20.9,Missed target,
39:21.7,Missed target,
39:22.0,Missed target,
39:22.4,Destroyed, Cube (2) at (-8.130261 3.030319 10.16391)
39:24.3,Missed target,
39:25.2,Missed target,
39:25.6,Destroyed, Cube (3) at (8.130281 3.030307 10.16381)
39:25.6,Hit, with pistol at (8.299501 2.690409 10.05983) using aim style 0
39:27.6,Missed target,
39:27.9,Missed target,
39:28.2,Missed target,
39:29.2,Destroyed, linear motion at (-9.298325E-06 5.036129 19.93131)
39:29.2,Hit, with pistol at (-0.01396295 5.045375 19.90404) using aim style 0
39:30.2,Missed target,
39:31.3,Missed target,
39:31.6,Destroyed, linear motion at (0.0001816154 4.930132 10.56293)
39:31.6,Hit, with pistol at (0.1312171 4.816534 10.57689) using aim style 0
39:33.5,Missed target,
39:34.1,Missed target,
39:35.6,Missed target,
39:35.8,Missed target,
39:36.7,Missed target,
39:37.0,Missed target,
39:37.9,Missed target,
39:38.8,Destroyed, linear motion at (7.312912 4.240373 29.06429)
39:38.8,Hit, with pistol at (7.765746 4.102033 28.93928) using aim style 0
39:40.2,Missed target,
39:40.9,Destroyed, cricular motion at (-1.369638 1.944156 20.09182)
39:40.9,Hit, with pistol at (-1.260855 2.285125 20.06058) using aim style 0
39:43.0,Missed target,
39:43.3,Missed target,
39:43.6,Missed target,
39:44.0,Destroyed, linear motion at (-3.164167 4.292619 19.7033)
39:44.0,Hit, with pistol at (-2.836939 4.597093 19.68147) using aim style 0
39:46.0,Destroyed, cricular motion at (-0.3109869 1.09674 10.74774)
39:46.0,Hit, with pistol at (-0.0975951 1.522992 10.7307) using aim style 0
39:48.2,Missed target,
39:48.5,Destroyed, linear motion at (-6.295372 3.679143 7.925351)
39:50.6,Missed target,
39:50.9,Destroyed, cricular motion at (-1.414028 3.090193 29.99995)
39:50.9,Hit, with pistol at (-1.32729 3.015881 29.98374) using aim style 0
39:52.9,Missed target,
39:53.2,Missed target,
39:54.3,Missed target,
39:55.3,Missed target,
39:55.6,Destroyed, linear motion at (-2.717972E-05 8.041983 29.91993)
39:55.6,Hit, with pistol at (0.4101579 8.400865 29.81148) using aim style 0
39:55.9,Missed target,
41:35.2,Destroyed, Cube (1) at (0.000301372 3.050891 10.2747)
41:35.2,Hit, with pistol at (0.167088 3.004529 10.25768) using aim style 1
41:37.6,Destroyed, Cube (2) at (-8.147959 3.034415 10.18582)
41:37.6,Hit, with pistol at (-8.00538 2.902983 10.2914) using aim style 1
41:40.1,Destroyed, Cube (3) at (8.142631 3.033076 10.17865)
41:42.4,Destroyed, cricular motion at (1.343053 1.871919 10.23668)
41:42.4,Hit, with pistol at (1.073347 1.754481 10.25538) using aim style 1
41:44.4,Destroyed, linear motion at (0.4868116 4.337891 29.9805)
41:44.4,Hit, with pistol at (0.1034349 4.263843 29.9696) using aim style 1
41:46.4,Missed target,
41:46.8,Destroyed, linear motion at (4.772946 4.245348 19.40711)
41:46.8,Hit, with pistol at (4.680188 4.025774 19.43894) using aim style 1
41:48.9,Destroyed, linear motion at (3.963195 4.084008 9.196886)
41:48.9,Hit, with pistol at (3.846673 3.861676 9.289581) using aim style 1
41:50.9,Missed target,
41:51.3,Missed target,
41:51.8,Destroyed, cricular motion at (1.437005 3.011763 20.03846)
41:51.8,Hit, with pistol at (1.814199 2.581921 20.02612) using aim style 1
41:53.9,Missed target,
41:54.1,Missed target,
41:54.7,Destroyed, linear motion at (7.408858E-05 3.067521 20.23932)
41:54.7,Hit, with pistol at (0.1015547 3.100434 20.21106) using aim style 1
41:56.8,Missed target,
41:57.1,Destroyed, linear motion at (-0.0005831719 8.501854 9.386511)
41:57.1,Hit, with pistol at (0.06193238 8.411517 9.42527) using aim style 1
41:59.3,Destroyed, linear motion at (-0.0002136231 10.27797 29.33545)
41:59.3,Hit, with pistol at (0.1238454 9.884415 29.43161) using aim style 1
42:01.3,Destroyed, cricular motion at (0.7647853 3.862275 29.98094)
42:01.3,Hit, with pistol at (1.118822 3.993002 29.93487) using aim style 1
42:07.7,Missed target,
42:13.3,Destroyed, Cube (1) at (-1.730006E-05 3.052936 10.28558)
42:13.3,Hit, with rifle at (-0.1474757 3.147617 10.2426) using aim style 1
42:15.9,Destroyed, Cube (2) at (-8.147624 3.034328 10.18493)
42:15.9,Hit, with rifle at (-8.357635 2.56638 10.07183) using aim style 1
42:18.4,Missed target,
42:18.9,Destroyed, Cube (3) at (8.14889 3.034597 10.18664)
42:18.9,Hit, with rifle at (8.150786 3.028849 10.15388) using aim style 1
42:20.8,Destroyed, linear motion at (0.2161112 4.336856 19.98053)
42:20.8,Hit, with rifle at (0.6433105 3.873603 20.02463) using aim style 1
42:23.1,Missed target,
42:23.4,Destroyed, linear motion at (-3.503874 4.290839 9.846046)
42:23.4,Hit, with rifle at (-3.927752 4.496527 9.602246) using aim style 1
42:25.6,Destroyed, cricular motion at (-0.595815 1.197709 30.26912)
42:25.6,Hit, with rifle at (-0.6285567 1.023689 30.24373) using aim style 1
42:25.9,Missed target,
42:27.6,Destroyed, linear motion at (-2.384186E-06 6.478513 30.59515)
42:29.8,Destroyed, cricular motion at (-0.7620918 1.258684 10.74986)
42:29.8,Hit, with rifle at (-0.7624407 1.157944 10.72579) using aim style 1
42:32.0,Missed target,
42:32.3,Missed target,
42:32.7,Missed target,
42:33.0,Missed target,
42:33.4,Destroyed, linear motion at (7.963181E-05 6.53903 10.64135)
42:33.4,Hit, with rifle at (-0.2535639 6.164339 10.8025) using aim style 1
42:35.4,Missed target,
42:35.9,Destroyed, linear motion at (1.175261 4.335517 29.95806)
42:35.9,Hit, with rifle at (1.136612 4.738706 29.89165) using aim style 1
42:37.9,Missed target,
42:38.5,Destroyed, cricular motion at (0.454796 1.146259 20.39271)
42:38.5,Hit, with rifle at (0.3837644 1.125348 20.36929) using aim style 1
