Timestamp,InitiatedAction,ActionData
26:49.2,started session,6
28:20.4,Destroyed, Cube (1) at (2.066516E-05 3.011417 10.0661)
28:20.4,Hit, with pistol at (-0.05118387 3.033938 10.03686) using aim style 2
28:23.9,Destroyed, Cube (2) at (-8.050225 3.011109 10.06468)
28:23.9,Hit, with pistol at (-7.949055 2.947699 10.12219) using aim style 2
28:27.0,Destroyed, Cube (3) at (8.042939 3.009489 10.05512)
28:27.0,Hit, with pistol at (8.007745 2.978477 10.05589) using aim style 2
28:29.8,Destroyed, linear motion at (-4.165543 4.305048 29.65973)
28:29.8,Hit, with pistol at (-4.133555 4.388666 29.63022) using aim style 2
28:32.8,Destroyed, linear motion at (-3.945828E-05 4.036752 19.92561)
28:32.8,Hit, with pistol at (0.04263279 3.800992 19.93306) using aim style 2
28:37.2,Destroyed, linear motion at (-1.883507E-05 5.983226 9.981832)
28:37.2,Hit, with pistol at (-0.1251964 5.772052 10.05224) using aim style 2
28:40.5,Destroyed, cricular motion at (0.7993372 3.892584 29.93325)
28:40.5,Hit, with pistol at (1.175118 3.758073 29.90993) using aim style 2
28:43.0,Destroyed, linear motion at (1.809348 4.22638 9.624996)
28:43.0,Hit, with pistol at (1.756587 4.223866 9.60894) using aim style 2
28:45.5,Destroyed, cricular motion at (-1.413667 3.120914 19.82984)
28:45.5,Hit, with pistol at (-1.738042 2.983217 19.79486) using aim style 2
28:48.9,Destroyed, linear motion at (0.0001017451 6.338291 30.42222)
28:48.9,Hit, with pistol at (0.01959345 6.33294 30.39776) using aim style 2
28:51.5,Destroyed, cricular motion at (-1.574407 2.62036 10.37299)
28:51.5,Hit, with pistol at (-1.622351 2.708696 10.32886) using aim style 2
28:54.3,Destroyed, linear motion at (0.7690182 4.365243 20.16427)
28:54.3,Hit, with pistol at (0.8508502 4.549997 20.10731) using aim style 2
29:12.9,Destroyed, Cube (1) at (-0.0002862379 3.039398 10.2251)
29:12.9,Hit, with rifle at (0.02086297 3.086505 10.1915) using aim style 2
29:15.9,Destroyed, Cube (2) at (-8.123061 3.02716 10.15582)
29:15.9,Hit, with rifle at (-8.094592 2.898887 10.16851) using aim style 2
29:21.0,Destroyed, Cube (3) at (8.102799 3.02259 10.13011)
29:21.0,Hit, with rifle at (8.031208 2.972408 10.16323) using aim style 2
29:27.8,Destroyed, cricular motion at (0.607674 1.241877 20.31848)
29:27.8,Hit, with rifle at (0.7407296 1.395283 20.28939) using aim style 2
29:30.9,Destroyed, linear motion at (-1.822981 4.351178 20.0725)
29:30.9,Hit, with rifle at (-1.692321 4.197882 20.08264) using aim style 2
29:35.2,Destroyed, linear motion at (1.709144 4.343741 30.03652)
29:35.2,Hit, with rifle at (2.075227 4.237162 30.00158) using aim style 2
29:41.5,Destroyed, linear motion at (-1.263619E-05 6.523965 30.19714)
29:41.5,Hit, with rifle at (-0.05007411 6.083291 30.24874) using aim style 2
29:44.2,Destroyed, linear motion at (2.465446 4.220079 9.60871)
29:44.2,Hit, with rifle at (2.014476 4.066202 9.742907) using aim style 2
29:47.0,Destroyed, cricular motion at (-1.455672 2.254239 29.98643)
29:47.0,Hit, with rifle at (-1.268616 2.692542 29.9557) using aim style 2
29:52.5,Destroyed, linear motion at (-3.802777E-05 3.871743 20.36818)
29:52.5,Hit, with rifle at (0.3830043 4.181577 20.30314) using aim style 2
29:55.5,Destroyed, cricular motion at (-0.2088213 4.198288 10.27309)
29:55.5,Hit, with rifle at (-0.1674013 4.089799 10.27885) using aim style 2
30:01.1,Destroyed, linear motion at (0.0001177788 6.980238 10.35911)
30:01.1,Hit, with rifle at (-0.145993 7.204989 10.20804) using aim style 2
35:29.0,Destroyed, Cube (1) at (-0.0005741575 3.06067 10.346)
