Timestamp,InitiatedAction,ActionData
35:29.0,Hit, with pistol at (-0.05612767 3.076473 10.31776) using aim style 1
35:32.6,Destroyed, Cube (2) at (-8.186618 3.040653 10.23279)
35:35.4,Destroyed, Cube (3) at (8.178359 3.038732 10.22336)
35:35.4,Hit, with pistol at (8.371015 3.089927 10.02835) using aim style 1
35:38.7,Missed target,
35:41.1,Destroyed, linear motion at (-4.887582E-05 7.415053 30.16672)
35:41.1,Hit, with pistol at (0.1909461 7.05417 30.21486) using aim style 1
35:45.8,Destroyed, cricular motion at (1.083741 3.695272 30.18529)
35:45.8,Hit, with pistol at (1.278449 3.401723 30.17689) using aim style 1
35:48.4,Destroyed, linear motion at (7.092954E-06 3.089863 20.28368)
35:48.4,Hit, with pistol at (-0.02223484 3.293644 20.24027) using aim style 1
35:52.2,Destroyed, linear motion at (0.7079368 4.358481 30.18079)
35:52.2,Hit, with pistol at (0.7718676 3.983886 30.1925) using aim style 1
35:54.7,Destroyed, cricular motion at (-0.8661879 3.86427 10.00543)
35:57.3,Destroyed, cricular motion at (-1.216903 3.526842 20.04501)
35:57.3,Hit, with pistol at (-0.9380512 3.615354 20.02664) using aim style 1
36:00.1,Destroyed, linear motion at (0.8856096 4.330803 9.97017)
36:00.1,Hit, with pistol at (0.7849804 4.383194 9.936639) using aim style 1
36:04.1,Destroyed, linear motion at (-3.763058 4.290623 19.67859)
36:04.1,Hit, with pistol at (-3.687335 4.236975 19.67552) using aim style 1
36:08.3,Destroyed, linear motion at (-3.623963E-05 6.271523 10.11404)
36:08.3,Hit, with pistol at (0.2199105 6.343653 10.05053) using aim style 1
36:19.5,Destroyed, Cube (1) at (-0.0008363072 3.058683 10.33502)
36:19.5,Hit, with rifle at (0.197156 2.999729 10.32046) using aim style 1
36:23.3,Destroyed, Cube (2) at (-8.175012 3.038084 10.2182)
36:23.3,Hit, with rifle at (-8.048481 2.813186 10.3266) using aim style 1
36:26.3,Destroyed, Cube (3) at (8.165042 3.035815 10.20686)
36:26.3,Hit, with rifle at (8.222855 3.086054 10.11977) using aim style 1
36:30.3,Destroyed, cricular motion at (1.404401 2.109543 20.16288)
36:30.3,Hit, with rifle at (1.269459 1.764214 20.16183) using aim style 1
36:33.5,Destroyed, linear motion at (-2.908707E-05 5.388604 19.961)
36:33.5,Hit, with rifle at (-0.08658819 5.384702 19.93634) using aim style 1
36:36.5,Destroyed, linear motion at (6.333461 3.716068 7.9686)
36:36.5,Hit, with rifle at (6.140965 3.838749 8.050759) using aim style 1
36:39.7,Destroyed, linear motion at (-2.954134 4.351998 20.07811)
36:39.7,Hit, with rifle at (-3.041328 4.022542 20.09057) using aim style 1
36:42.4,Destroyed, cricular motion at (0.03168941 4.12514 9.986312)
36:42.4,Hit, with rifle at (-0.09634512 4.043337 9.984442) using aim style 1
36:45.7,Missed target,
36:48.1,Destroyed, cricular motion at (1.198629 3.531126 30.06309)
36:48.1,Hit, with rifle at (1.129332 3.524124 30.04132) using aim style 1
36:51.5,Destroyed, linear motion at (-0.0001065731 9.368499 29.68974)
36:51.5,Hit, with rifle at (-0.1157157 8.988994 29.76757) using aim style 1
36:54.7,Missed target,
36:55.6,Destroyed, linear motion at (5.650521E-05 6.408661 10.0489)
36:55.6,Hit, with rifle at (0.1080552 6.823894 9.808375) using aim style 1
37:02.4,Destroyed, linear motion at (1.698893 4.340631 30.00649)
37:02.4,Hit, with rifle at (1.606412 4.320807 29.98865) using aim style 1
41:21.6,Destroyed, Cube (1) at (-0.0007940448 3.059223 10.33928)
41:21.6,Hit, with rifle at (0.0006536067 3.059806 10.3138) using aim style 0
41:24.1,Destroyed, Cube (2) at (-8.190564 3.04159 10.23794)
41:27.7,Destroyed, Cube (3) at (8.15506 3.033692 10.19497)
41:27.7,Hit, with rifle at (8.00052 2.905542 10.30779) using aim style 0
41:30.6,Destroyed, cricular motion at (1.068327 1.575095 20.21598)
41:30.6,Hit, with rifle at (1.452801 1.906746 20.16534) using aim style 0
41:36.1,Destroyed, linear motion at (1.558338 4.374501 20.22378)
41:36.1,Hit, with rifle at (1.727136 4.650304 20.14282) using aim style 0
41:39.6,Destroyed, linear motion at (-1.739026 4.339903 29.99939)
41:39.6,Hit, with rifle at (-1.796924 4.558988 29.94837) using aim style 0
41:42.4,Destroyed, cricular motion at (-1.188169 3.57799 10.04805)
41:42.4,Hit, with rifle at (-0.8723988 3.517994 10.07285) using aim style 0
41:52.0,Missed target,
41:53.5,Destroyed, linear motion at (-0.0001339913 6.910918 9.736688)
42:00.4,Missed target,
42:02.7,Missed target,
42:07.5,Destroyed, linear motion at (9.822847E-05 7.310468 30.49105)
42:07.5,Hit, with rifle at (-0.02368991 7.431764 30.44154) using aim style 0
42:10.9,Destroyed, linear motion at (-1.771171 4.433395 10.30585)
42:10.9,Hit, with rifle at (-1.522318 4.684415 10.24463) using aim style 0
42:20.4,Destroyed, cricular motion at (1.405023 2.074842 30.13021)
42:20.4,Hit, with rifle at (1.304801 1.959366 30.11297) using aim style 0
42:25.4,Missed target,
42:27.8,Destroyed, linear motion at (-4.196167E-05 4.998031 20.32188)
42:27.8,Hit, with rifle at (-0.1682418 4.907044 20.31321) using aim style 0
43:17.4,Destroyed, Cube (1) at (5.431948E-06 3.055006 10.31683)
43:17.4,Hit, with pistol at (0.05015006 2.996016 10.30169) using aim style 0
43:23.5,Destroyed, Cube (2) at (-8.169062 3.036842 10.21221)
43:23.5,Hit, with pistol at (-8.129063 2.922698 10.23164) using aim style 0
43:29.0,Destroyed, Cube (3) at (8.158275 3.034177 10.19762)
43:29.0,Hit, with pistol at (8.272066 2.865982 10.10326) using aim style 0
43:31.8,Missed target,
43:33.8,Destroyed, linear motion at (6.079675E-06 7.249083 30.17491)
43:33.8,Hit, with pistol at (0.04300081 7.529841 30.09379) using aim style 0
43:37.5,Destroyed, linear motion at (-4.806214 3.990464 8.850391)
43:37.5,Hit, with pistol at (-4.893926 4.00748 8.768512) using aim style 0
43:43.2,Destroyed, linear motion at (-2.047803 4.321009 19.87597)
43:43.2,Hit, with pistol at (-2.149826 4.646714 19.79041) using aim style 0
43:46.4,Missed target,
